"epoch","copper-spaceship-1 - _step","copper-spaceship-1 - _step__MIN","copper-spaceship-1 - _step__MAX","copper-spaceship-1 - loss/train","copper-spaceship-1 - loss/train__MIN","copper-spaceship-1 - loss/train__MAX","copper-spaceship-1 - loss/val","copper-spaceship-1 - loss/val__MIN","copper-spaceship-1 - loss/val__MAX"
"0","0","0","0","2.357934682092206","2.357934682092206","2.357934682092206","2.313182854970882","2.313182854970882","2.313182854970882"
"1","1","1","1","1.9766655628497785","1.9766655628497785","1.9766655628497785","2.1745029286490447","2.1745029286490447","2.1745029286490447"
"2","2","2","2","1.848722014302716","1.848722014302716","1.848722014302716","2.097688401365873","2.097688401365873","2.097688401365873"
"3","3","3","3","1.768879825415141","1.768879825415141","1.768879825415141","2.047151824396802","2.047151824396802","2.047151824396802"
"4","4","4","4","1.757628920469859","1.757628920469859","1.757628920469859","2.0183386366140015","2.0183386366140015","2.0183386366140015"
"5","5","5","5","1.7353786436176983","1.7353786436176983","1.7353786436176983","1.9986260849339026","1.9986260849339026","1.9986260849339026"
"6","6","6","6","1.6986615062117933","1.6986615062117933","1.6986615062117933","1.9836231118684977","1.9836231118684977","1.9836231118684977"
"7","7","7","7","1.6998611392642202","1.6998611392642202","1.6998611392642202","1.9759739775198608","1.9759739775198608","1.9759739775198608"
"8","8","8","8","1.6817029542200392","1.6817029542200392","1.6817029542200392","1.9655707009867665","1.9655707009867665","1.9655707009867665"
"9","9","9","9","1.6630631487813992","1.6630631487813992","1.6630631487813992","1.9470615575303685","1.9470615575303685","1.9470615575303685"
"10","10","10","10","1.655225278797533","1.655225278797533","1.655225278797533","1.9332883252574793","1.9332883252574793","1.9332883252574793"
"11","11","11","11","1.6530127864920479","1.6530127864920479","1.6530127864920479","1.9231583827215095","1.9231583827215095","1.9231583827215095"
"12","12","12","12","1.649827046464844","1.649827046464844","1.649827046464844","1.9171490663759503","1.9171490663759503","1.9171490663759503"
"13","13","13","13","1.6122403666724727","1.6122403666724727","1.6122403666724727","1.9155095600411949","1.9155095600411949","1.9155095600411949"
"14","14","14","14","1.6272090237585108","1.6272090237585108","1.6272090237585108","1.9089763584031536","1.9089763584031536","1.9089763584031536"
"15","15","15","15","1.6148351019594736","1.6148351019594736","1.6148351019594736","1.9106695069963622","1.9106695069963622","1.9106695069963622"
"16","16","16","16","1.6195464954169139","1.6195464954169139","1.6195464954169139","1.892646922871903","1.892646922871903","1.892646922871903"
"17","17","17","17","1.607793039470381","1.607793039470381","1.607793039470381","1.8988233031022939","1.8988233031022939","1.8988233031022939"
"18","18","18","18","1.607030938453172","1.607030938453172","1.607030938453172","1.9033921130622713","1.9033921130622713","1.9033921130622713"
"19","19","19","19","1.5878644138650329","1.5878644138650329","1.5878644138650329","1.886899264821914","1.886899264821914","1.886899264821914"
"20","20","20","20","1.5919413514048046","1.5919413514048046","1.5919413514048046","1.8900152364671092","1.8900152364671092","1.8900152364671092"
"21","21","21","21","1.5756924695135899","1.5756924695135899","1.5756924695135899","1.8896196607838354","1.8896196607838354","1.8896196607838354"
"22","22","22","22","1.5926497734289682","1.5926497734289682","1.5926497734289682","1.8862081699687618","1.8862081699687618","1.8862081699687618"
"23","23","23","23","1.5675170485762422","1.5675170485762422","1.5675170485762422","1.8755809633702192","1.8755809633702192","1.8755809633702192"
"24","24","24","24","1.5667489834155626","1.5667489834155626","1.5667489834155626","1.881308459400966","1.881308459400966","1.881308459400966"
"25","25","25","25","1.5689053531330819","1.5689053531330819","1.5689053531330819","1.880341546319147","1.880341546319147","1.880341546319147"
"26","26","26","26","1.5617686378126967","1.5617686378126967","1.5617686378126967","1.8748760014731234","1.8748760014731234","1.8748760014731234"
"27","27","27","27","1.5701181794622805","1.5701181794622805","1.5701181794622805","1.8829884273233857","1.8829884273233857","1.8829884273233857"
"28","28","28","28","1.5583839309493672","1.5583839309493672","1.5583839309493672","1.8806879492412234","1.8806879492412234","1.8806879492412234"
"29","29","29","29","1.5500758270601611","1.5500758270601611","1.5500758270601611","1.87833571066125","1.87833571066125","1.87833571066125"
"30","30","30","30","1.5372573125827778","1.5372573125827778","1.5372573125827778","1.882920196340799","1.882920196340799","1.882920196340799"
"31","31","31","31","1.54799450999128","1.54799450999128","1.54799450999128","1.8817848916539175","1.8817848916539175","1.8817848916539175"
"32","32","32","32","1.5249689397263346","1.5249689397263346","1.5249689397263346","1.8852853393950038","1.8852853393950038","1.8852853393950038"
"33","33","33","33","1.5470212446291196","1.5470212446291196","1.5470212446291196","1.8880371946390189","1.8880371946390189","1.8880371946390189"
"34","34","34","34","1.5357092804378933","1.5357092804378933","1.5357092804378933","1.8923568781593987","1.8923568781593987","1.8923568781593987"
"35","35","35","35","1.536185621427702","1.536185621427702","1.536185621427702","1.886948164022227","1.886948164022227","1.886948164022227"
"36","36","36","36","1.5003509329108284","1.5003509329108284","1.5003509329108284","1.892739088235501","1.892739088235501","1.892739088235501"
"37","37","37","37","1.5223228592331786","1.5223228592331786","1.5223228592331786","1.894022877454648","1.894022877454648","1.894022877454648"
"38","38","38","38","1.5291325138963985","1.5291325138963985","1.5291325138963985","1.8941287302520626","1.8941287302520626","1.8941287302520626"
"39","39","39","39","1.5093958935029348","1.5093958935029348","1.5093958935029348","1.8938218538028642","1.8938218538028642","1.8938218538028642"
"40","40","40","40","1.5159516976540015","1.5159516976540015","1.5159516976540015","1.8931343696019662","1.8931343696019662","1.8931343696019662"
"41","41","41","41","1.5246771702785145","1.5246771702785145","1.5246771702785145","1.8936104382418752","1.8936104382418752","1.8936104382418752"
