"epoch","logical-wildflower-1 - _step","logical-wildflower-1 - _step__MIN","logical-wildflower-1 - _step__MAX","logical-wildflower-1 - loss/train","logical-wildflower-1 - loss/train__MIN","logical-wildflower-1 - loss/train__MAX","logical-wildflower-1 - loss/val","logical-wildflower-1 - loss/val__MIN","logical-wildflower-1 - loss/val__MAX"
"0","0","0","0","2.423549900927316","2.423549900927316","2.423549900927316","2.3491424455559238","2.3491424455559238","2.3491424455559238"
"1","1","1","1","2.1381273443138773","2.1381273443138773","2.1381273443138773","2.2108765033904665","2.2108765033904665","2.2108765033904665"
"2","2","2","2","1.9683856925559005","1.9683856925559005","1.9683856925559005","2.122668774267431","2.122668774267431","2.122668774267431"
"3","3","3","3","1.8855676751237016","1.8855676751237016","1.8855676751237016","2.0692155373255705","2.0692155373255705","2.0692155373255705"
"4","4","4","4","1.8487551338431962","1.8487551338431962","1.8487551338431962","2.0344101701777744","2.0344101701777744","2.0344101701777744"
"5","5","5","5","1.8265673653802412","1.8265673653802412","1.8265673653802412","2.0083523144210225","2.0083523144210225","2.0083523144210225"
"6","6","6","6","1.7939858388118695","1.7939858388118695","1.7939858388118695","1.987627060388102","1.987627060388102","1.987627060388102"
"7","7","7","7","1.785248650334729","1.785248650334729","1.785248650334729","1.9827348158031166","1.9827348158031166","1.9827348158031166"
"8","8","8","8","1.7733438625212326","1.7733438625212326","1.7733438625212326","1.967285470553995","1.967285470553995","1.967285470553995"
"9","9","9","9","1.773370455307673","1.773370455307673","1.773370455307673","1.951478071225947","1.951478071225947","1.951478071225947"
"10","10","10","10","1.7370023132609727","1.7370023132609727","1.7370023132609727","1.9401691635870704","1.9401691635870704","1.9401691635870704"
"11","11","11","11","1.7238158946170574","1.7238158946170574","1.7238158946170574","1.93626690163474","1.93626690163474","1.93626690163474"
"12","12","12","12","1.7333776193007664","1.7333776193007664","1.7333776193007664","1.921150201314718","1.921150201314718","1.921150201314718"
"13","13","13","13","1.7142622476363187","1.7142622476363187","1.7142622476363187","1.916458100341312","1.916458100341312","1.916458100341312"
"14","14","14","14","1.6917595608346208","1.6917595608346208","1.6917595608346208","1.9079152748146566","1.9079152748146566","1.9079152748146566"
"15","15","15","15","1.71531024962822","1.71531024962822","1.71531024962822","1.915999162586973","1.915999162586973","1.915999162586973"
"16","16","16","16","1.705872898262625","1.705872898262625","1.705872898262625","1.9182779365066887","1.9182779365066887","1.9182779365066887"
"17","17","17","17","1.7028082679947685","1.7028082679947685","1.7028082679947685","1.9178510384315832","1.9178510384315832","1.9178510384315832"
"18","18","18","18","1.6796175088087166","1.6796175088087166","1.6796175088087166","1.9026887061023756","1.9026887061023756","1.9026887061023756"
"19","19","19","19","1.6765814738450961","1.6765814738450961","1.6765814738450961","1.9017322286380045","1.9017322286380045","1.9017322286380045"
"20","20","20","20","1.6749248645630024","1.6749248645630024","1.6749248645630024","1.8989169592134747","1.8989169592134747","1.8989169592134747"
"21","21","21","21","1.6805632696550474","1.6805632696550474","1.6805632696550474","1.8917611305859714","1.8917611305859714","1.8917611305859714"
"22","22","22","22","1.664019616764339","1.664019616764339","1.664019616764339","1.8823715060166861","1.8823715060166861","1.8823715060166861"
"23","23","23","23","1.6468437158034288","1.6468437158034288","1.6468437158034288","1.890164893434543","1.890164893434543","1.890164893434543"
"24","24","24","24","1.6573227162338013","1.6573227162338013","1.6573227162338013","1.8934341682261007","1.8934341682261007","1.8934341682261007"
"25","25","25","25","1.6461798205445066","1.6461798205445066","1.6461798205445066","1.885882960437685","1.885882960437685","1.885882960437685"
