"epoch","logical-wildflower-1 - _step","logical-wildflower-1 - _step__MIN","logical-wildflower-1 - _step__MAX","logical-wildflower-1 - loss/train","logical-wildflower-1 - loss/train__MIN","logical-wildflower-1 - loss/train__MAX","logical-wildflower-1 - loss/val","logical-wildflower-1 - loss/val__MIN","logical-wildflower-1 - loss/val__MAX"
"26","26","26","26","1.6250797046142353","1.6250797046142353","1.6250797046142353","1.8843257443688533","1.8843257443688533","1.8843257443688533"
"27","27","27","27","1.648814785587895","1.648814785587895","1.648814785587895","1.8847062658022649","1.8847062658022649","1.8847062658022649"
"28","28","28","28","1.618548452124416","1.618548452124416","1.618548452124416","1.8832626229659142","1.8832626229659142","1.8832626229659142"
"29","29","29","29","1.6298942124493874","1.6298942124493874","1.6298942124493874","1.8846485837710611","1.8846485837710611","1.8846485837710611"
"30","30","30","30","1.6259637144427566","1.6259637144427566","1.6259637144427566","1.8823073274910258","1.8823073274910258","1.8823073274910258"
"31","31","31","31","1.5945917448068938","1.5945917448068938","1.5945917448068938","1.8752736115664286","1.8752736115664286","1.8752736115664286"
"32","32","32","32","1.6039831191129237","1.6039831191129237","1.6039831191129237","1.881599354941633","1.881599354941633","1.881599354941633"
"33","33","33","33","1.6005187369461396","1.6005187369461396","1.6005187369461396","1.8772510162205918","1.8772510162205918","1.8772510162205918"
"34","34","34","34","1.595883176408813","1.595883176408813","1.595883176408813","1.8872624266702203","1.8872624266702203","1.8872624266702203"
"35","35","35","35","1.599465585906006","1.599465585906006","1.599465585906006","1.8824667735123952","1.8824667735123952","1.8824667735123952"
"36","36","36","36","1.5911200736625886","1.5911200736625886","1.5911200736625886","1.8873209209828703","1.8873209209828703","1.8873209209828703"
"37","37","37","37","1.6016569404961138","1.6016569404961138","1.6016569404961138","1.8840242438138437","1.8840242438138437","1.8840242438138437"
"38","38","38","38","1.609122443458009","1.609122443458009","1.609122443458009","1.8783940944952768","1.8783940944952768","1.8783940944952768"
"39","39","39","39","1.580604179265125","1.580604179265125","1.580604179265125","1.8841044028636664","1.8841044028636664","1.8841044028636664"
"40","40","40","40","1.5816823112741578","1.5816823112741578","1.5816823112741578","1.8830492119259792","1.8830492119259792","1.8830492119259792"
"41","41","41","41","1.5939706038261126","1.5939706038261126","1.5939706038261126","1.8808687485510827","1.8808687485510827","1.8808687485510827"
"42","42","42","42","1.5944161816044256","1.5944161816044256","1.5944161816044256","1.885253281705339","1.885253281705339","1.885253281705339"
"43","43","43","43","1.5975646746849788","1.5975646746849788","1.5975646746849788","1.8832514767600665","1.8832514767600665","1.8832514767600665"
