"epoch","lyric-lake-1 - _step","lyric-lake-1 - _step__MIN","lyric-lake-1 - _step__MAX","lyric-lake-1 - loss/train","lyric-lake-1 - loss/train__MIN","lyric-lake-1 - loss/train__MAX","lyric-lake-1 - loss/val","lyric-lake-1 - loss/val__MIN","lyric-lake-1 - loss/val__MAX"
"0","0","0","0","2.082867003643752","2.082867003643752","2.082867003643752","2.1122280847965875","2.1122280847965875","2.1122280847965875"
"1","1","1","1","1.7816902734082796","1.7816902734082796","1.7816902734082796","2.0282262651561207","2.0282262651561207","2.0282262651561207"
"2","2","2","2","1.713373184303236","1.713373184303236","1.713373184303236","1.9853441671312597","1.9853441671312597","1.9853441671312597"
"3","3","3","3","1.6898218677511498","1.6898218677511498","1.6898218677511498","1.9526983846008146","1.9526983846008146","1.9526983846008146"
"4","4","4","4","1.6839009774147047","1.6839009774147047","1.6839009774147047","1.9462910852691426","1.9462910852691426","1.9462910852691426"
"5","5","5","5","1.6619612806249253","1.6619612806249253","1.6619612806249253","1.9270681291612708","1.9270681291612708","1.9270681291612708"
"6","6","6","6","1.6413664361791154","1.6413664361791154","1.6413664361791154","1.9106537961893948","1.9106537961893948","1.9106537961893948"
"7","7","7","7","1.6350515147504587","1.6350515147504587","1.6350515147504587","1.9110607355215319","1.9110607355215319","1.9110607355215319"
"8","8","8","8","1.6191868751532048","1.6191868751532048","1.6191868751532048","1.9075063023903247","1.9075063023903247","1.9075063023903247"
"9","9","9","9","1.6028270601923347","1.6028270601923347","1.6028270601923347","1.901674987038727","1.901674987038727","1.901674987038727"
"10","10","10","10","1.601185876862175","1.601185876862175","1.601185876862175","1.9004144781144299","1.9004144781144299","1.9004144781144299"
"11","11","11","11","1.570106680009348","1.570106680009348","1.570106680009348","1.898128962033578","1.898128962033578","1.898128962033578"
"12","12","12","12","1.557960661312922","1.557960661312922","1.557960661312922","1.9067186547665484","1.9067186547665484","1.9067186547665484"
"13","13","13","13","1.5594051183082402","1.5594051183082402","1.5594051183082402","1.907767840982417","1.907767840982417","1.907767840982417"
"14","14","14","14","1.5653300740752436","1.5653300740752436","1.5653300740752436","1.9175635526280204","1.9175635526280204","1.9175635526280204"
"15","15","15","15","1.5397523733506056","1.5397523733506056","1.5397523733506056","1.926485896714543","1.926485896714543","1.926485896714543"
"16","16","16","16","1.5336836565501917","1.5336836565501917","1.5336836565501917","1.9224810713395057","1.9224810713395057","1.9224810713395057"
"17","17","17","17","1.514174730900557","1.514174730900557","1.514174730900557","1.9376537529678732","1.9376537529678732","1.9376537529678732"
"18","18","18","18","1.5394874158536735","1.5394874158536735","1.5394874158536735","1.9286944865082223","1.9286944865082223","1.9286944865082223"
"19","19","19","19","1.5233844847182363","1.5233844847182363","1.5233844847182363","1.9313310987660546","1.9313310987660546","1.9313310987660546"
"20","20","20","20","1.505836544314442","1.505836544314442","1.505836544314442","1.936679301586968","1.936679301586968","1.936679301586968"
"21","21","21","21","1.4811219239625955","1.4811219239625955","1.4811219239625955","1.9433242317609993","1.9433242317609993","1.9433242317609993"
"22","22","22","22","1.501483532963297","1.501483532963297","1.501483532963297","1.9437782918731499","1.9437782918731499","1.9437782918731499"
"23","23","23","23","1.476342492589336","1.476342492589336","1.476342492589336","1.955374428117841","1.955374428117841","1.955374428117841"
