"epoch","devoted-surf-1 - _step","devoted-surf-1 - _step__MIN","devoted-surf-1 - _step__MAX","devoted-surf-1 - loss/train","devoted-surf-1 - loss/train__MIN","devoted-surf-1 - loss/train__MAX","devoted-surf-1 - loss/val","devoted-surf-1 - loss/val__MIN","devoted-surf-1 - loss/val__MAX"
"37","37","37","37","1.8794588198367705","1.8794588198367705","1.8794588198367705","1.8742234857331657","1.8742234857331657","1.8742234857331657"
"38","38","38","38","1.8676456113862892","1.8676456113862892","1.8676456113862892","1.883729360939335","1.883729360939335","1.883729360939335"
"39","39","39","39","1.866075140743119","1.866075140743119","1.866075140743119","1.8761149465296467","1.8761149465296467","1.8761149465296467"
"40","40","40","40","1.843990842694084","1.843990842694084","1.843990842694084","1.8797554324596832","1.8797554324596832","1.8797554324596832"
"41","41","41","41","1.8373161621252365","1.8373161621252365","1.8373161621252365","1.8817117572215118","1.8817117572215118","1.8817117572215118"
"42","42","42","42","1.848438908250262","1.848438908250262","1.848438908250262","1.8732165695060403","1.8732165695060403","1.8732165695060403"
"43","43","43","43","1.841642672648246","1.841642672648246","1.841642672648246","1.8762202125603786","1.8762202125603786","1.8762202125603786"
"44","44","44","44","1.852376523346129","1.852376523346129","1.852376523346129","1.8805145453001046","1.8805145453001046","1.8805145453001046"
"45","45","45","45","1.786399381985205","1.786399381985205","1.786399381985205","1.8953691901615939","1.8953691901615939","1.8953691901615939"
"46","46","46","46","1.8181667899281357","1.8181667899281357","1.8181667899281357","1.881400254617249","1.881400254617249","1.881400254617249"
"47","47","47","47","1.8075311968744585","1.8075311968744585","1.8075311968744585","1.886372031840461","1.886372031840461","1.886372031840461"
"48","48","48","48","1.8095047144835859","1.8095047144835859","1.8095047144835859","1.8803065659976785","1.8803065659976785","1.8803065659976785"
"49","49","49","49","1.7464492760510884","1.7464492760510884","1.7464492760510884","1.8875174620139439","1.8875174620139439","1.8875174620139439"
