"epoch","robust-energy-1 - _step","robust-energy-1 - _step__MIN","robust-energy-1 - _step__MAX","robust-energy-1 - loss/train","robust-energy-1 - loss/train__MIN","robust-energy-1 - loss/train__MAX","robust-energy-1 - loss/val","robust-energy-1 - loss/val__MIN","robust-energy-1 - loss/val__MAX"
"0","0","0","0","2.523123827911693","2.523123827911693","2.523123827911693","2.427841195528653","2.427841195528653","2.427841195528653"
"1","1","1","1","2.390938046415882","2.390938046415882","2.390938046415882","2.294331837227574","2.294331837227574","2.294331837227574"
"2","2","2","2","2.283669420953333","2.283669420953333","2.283669420953333","2.184628655810556","2.184628655810556","2.184628655810556"
"3","3","3","3","2.210654416027859","2.210654416027859","2.210654416027859","2.1172125991837105","2.1172125991837105","2.1172125991837105"
"4","4","4","4","2.140189607820567","2.140189607820567","2.140189607820567","2.0700698925678984","2.0700698925678984","2.0700698925678984"
"5","5","5","5","2.1004519973986246","2.1004519973986246","2.1004519973986246","2.0403095127414965","2.0403095127414965","2.0403095127414965"
"6","6","6","6","2.0687456166250464","2.0687456166250464","2.0687456166250464","2.008203976168604","2.008203976168604","2.008203976168604"
"7","7","7","7","2.038124356749495","2.038124356749495","2.038124356749495","1.9900038676127922","1.9900038676127922","1.9900038676127922"
"8","8","8","8","2.0226048985881917","2.0226048985881917","2.0226048985881917","1.979345720575351","1.979345720575351","1.979345720575351"
"9","9","9","9","2.0197867073956326","2.0197867073956326","2.0197867073956326","1.9625991479090863","1.9625991479090863","1.9625991479090863"
"10","10","10","10","1.973945516101002","1.973945516101002","1.973945516101002","1.9482211965616263","1.9482211965616263","1.9482211965616263"
"11","11","11","11","1.9956226913181283","1.9956226913181283","1.9956226913181283","1.944077663188813","1.944077663188813","1.944077663188813"
"12","12","12","12","1.9832849978695255","1.9832849978695255","1.9832849978695255","1.938741782468236","1.938741782468236","1.938741782468236"
"13","13","13","13","1.9296021151119436","1.9296021151119436","1.9296021151119436","1.929041285879433","1.929041285879433","1.929041285879433"
"14","14","14","14","1.9406675967944444","1.9406675967944444","1.9406675967944444","1.914764985023474","1.914764985023474","1.914764985023474"
"15","15","15","15","1.922233575194545","1.922233575194545","1.922233575194545","1.9088100902719027","1.9088100902719027","1.9088100902719027"
"16","16","16","16","1.941363257769297","1.941363257769297","1.941363257769297","1.9148808217498905","1.9148808217498905","1.9148808217498905"
"17","17","17","17","1.8991039751549443","1.8991039751549443","1.8991039751549443","1.9091769177921354","1.9091769177921354","1.9091769177921354"
"18","18","18","18","1.8797676115346378","1.8797676115346378","1.8797676115346378","1.9027678175271243","1.9027678175271243","1.9027678175271243"
"19","19","19","19","1.8910663501750788","1.8910663501750788","1.8910663501750788","1.9055285138613833","1.9055285138613833","1.9055285138613833"
"20","20","20","20","1.8766552752997043","1.8766552752997043","1.8766552752997043","1.897824094571149","1.897824094571149","1.897824094571149"
"21","21","21","21","1.8764626898709134","1.8764626898709134","1.8764626898709134","1.9000439480228504","1.9000439480228504","1.9000439480228504"
"22","22","22","22","1.8964746964753731","1.8964746964753731","1.8964746964753731","1.9009873859347532","1.9009873859347532","1.9009873859347532"
"23","23","23","23","1.8468611536646735","1.8468611536646735","1.8468611536646735","1.8934587091413415","1.8934587091413415","1.8934587091413415"
"24","24","24","24","1.8766717903712797","1.8766717903712797","1.8766717903712797","1.8884869055064908","1.8884869055064908","1.8884869055064908"
"25","25","25","25","1.8311045497832215","1.8311045497832215","1.8311045497832215","1.8828267235187055","1.8828267235187055","1.8828267235187055"
"26","26","26","26","1.8329777357846322","1.8329777357846322","1.8329777357846322","1.8911107421086055","1.8911107421086055","1.8911107421086055"
"27","27","27","27","1.8398075124921178","1.8398075124921178","1.8398075124921178","1.878929847509067","1.878929847509067","1.878929847509067"
"28","28","28","28","1.818971831417648","1.818971831417648","1.818971831417648","1.884776985738641","1.884776985738641","1.884776985738641"
"29","29","29","29","1.8279075947033583","1.8279075947033583","1.8279075947033583","1.8805018093991204","1.8805018093991204","1.8805018093991204"
"30","30","30","30","1.8166767718523917","1.8166767718523917","1.8166767718523917","1.8845574208417284","1.8845574208417284","1.8845574208417284"
"31","31","31","31","1.8088847063702238","1.8088847063702238","1.8088847063702238","1.8808612653814885","1.8808612653814885","1.8808612653814885"
"32","32","32","32","1.8076712030630846","1.8076712030630846","1.8076712030630846","1.8842779149222846","1.8842779149222846","1.8842779149222846"
"33","33","33","33","1.7849786334489224","1.7849786334489224","1.7849786334489224","1.8872585937977935","1.8872585937977935","1.8872585937977935"
"34","34","34","34","1.7827624706826972","1.7827624706826972","1.7827624706826972","1.8813486347435697","1.8813486347435697","1.8813486347435697"
"35","35","35","35","1.7759673799988787","1.7759673799988787","1.7759673799988787","1.8776994402756728","1.8776994402756728","1.8776994402756728"
"36","36","36","36","1.7600493589801902","1.7600493589801902","1.7600493589801902","1.8804305117012772","1.8804305117012772","1.8804305117012772"
"37","37","37","37","1.7821756093459722","1.7821756093459722","1.7821756093459722","1.8852839352951682","1.8852839352951682","1.8852839352951682"
"38","38","38","38","1.767479189754238","1.767479189754238","1.767479189754238","1.886955001122498","1.886955001122498","1.886955001122498"
"39","39","39","39","1.78117842363888","1.78117842363888","1.78117842363888","1.8855964051364809","1.8855964051364809","1.8855964051364809"
