"epoch","decent-elevator-1 - _step","decent-elevator-1 - _step__MIN","decent-elevator-1 - _step__MAX","decent-elevator-1 - loss/train","decent-elevator-1 - loss/train__MIN","decent-elevator-1 - loss/train__MAX","decent-elevator-1 - loss/val","decent-elevator-1 - loss/val__MIN","decent-elevator-1 - loss/val__MAX"
"0","0","0","0","2.4314767572504734","2.4314767572504734","2.4314767572504734","2.244155693910793","2.244155693910793","2.244155693910793"
"1","1","1","1","2.25055366637498","2.25055366637498","2.25055366637498","2.1030511282820243","2.1030511282820243","2.1030511282820243"
"2","2","2","2","2.16666414446356","2.16666414446356","2.16666414446356","2.022633387656983","2.022633387656983","2.022633387656983"
"3","3","3","3","2.1191111397980045","2.1191111397980045","2.1191111397980045","1.982522353605431","1.982522353605431","1.982522353605431"
"4","4","4","4","2.0880666945321535","2.0880666945321535","2.0880666945321535","1.9446064347443301","1.9446064347443301","1.9446064347443301"
"5","5","5","5","2.0799566288968108","2.0799566288968108","2.0799566288968108","1.9379290314326907","1.9379290314326907","1.9379290314326907"
"6","6","6","6","2.053246424583123","2.053246424583123","2.053246424583123","1.9170900517375389","1.9170900517375389","1.9170900517375389"
"7","7","7","7","2.044943589375514","2.044943589375514","2.044943589375514","1.901846521573921","1.901846521573921","1.901846521573921"
"8","8","8","8","2.019165494585731","2.019165494585731","2.019165494585731","1.8875942360910059","1.8875942360910059","1.8875942360910059"
"9","9","9","9","2.0255510496966527","2.0255510496966527","2.0255510496966527","1.8773094536466348","1.8773094536466348","1.8773094536466348"
"10","10","10","10","2.0240657688095927","2.0240657688095927","2.0240657688095927","1.8812955193451504","1.8812955193451504","1.8812955193451504"
"11","11","11","11","2.0238846827665853","2.0238846827665853","2.0238846827665853","1.872727586013938","1.872727586013938","1.872727586013938"
"12","12","12","12","2.0093615634470567","2.0093615634470567","2.0093615634470567","1.8707438100048717","1.8707438100048717","1.8707438100048717"
"13","13","13","13","1.9950261539552636","1.9950261539552636","1.9950261539552636","1.8822934570426713","1.8822934570426713","1.8822934570426713"
"14","14","14","14","1.987842329354175","1.987842329354175","1.987842329354175","1.8503323718184757","1.8503323718184757","1.8503323718184757"
"15","15","15","15","1.9772351664906425","1.9772351664906425","1.9772351664906425","1.8580922251854664","1.8580922251854664","1.8580922251854664"
"16","16","16","16","1.994766505438121","1.994766505438121","1.994766505438121","1.8483058591967407","1.8483058591967407","1.8483058591967407"
"17","17","17","17","1.9988183362237795","1.9988183362237795","1.9988183362237795","1.8575584660582365","1.8575584660582365","1.8575584660582365"
"18","18","18","18","1.9518009591361452","1.9518009591361452","1.9518009591361452","1.8406656896502451","1.8406656896502451","1.8406656896502451"
"19","19","19","19","1.9778642462208078","1.9778642462208078","1.9778642462208078","1.8509552073555573","1.8509552073555573","1.8509552073555573"
"20","20","20","20","1.9625959870555876","1.9625959870555876","1.9625959870555876","1.8402105440801324","1.8402105440801324","1.8402105440801324"
"21","21","21","21","1.9768354364839265","1.9768354364839265","1.9768354364839265","1.8347984819245307","1.8347984819245307","1.8347984819245307"
"22","22","22","22","1.9610460553276094","1.9610460553276094","1.9610460553276094","1.8389622631955949","1.8389622631955949","1.8389622631955949"
"23","23","23","23","1.9812756985818356","1.9812756985818356","1.9812756985818356","1.8480278938830257","1.8480278938830257","1.8480278938830257"
"24","24","24","24","1.9692058677787896","1.9692058677787896","1.9692058677787896","1.8451473532267728","1.8451473532267728","1.8451473532267728"
"25","25","25","25","1.9600140113812943","1.9600140113812943","1.9600140113812943","1.8331947223978733","1.8331947223978733","1.8331947223978733"
"26","26","26","26","1.962269806426787","1.962269806426787","1.962269806426787","1.8428321428312129","1.8428321428312129","1.8428321428312129"
"27","27","27","27","1.9785075471318052","1.9785075471318052","1.9785075471318052","1.8346790533250292","1.8346790533250292","1.8346790533250292"
"28","28","28","28","1.9655279081670207","1.9655279081670207","1.9655279081670207","1.8326967822851974","1.8326967822851974","1.8326967822851974"
"29","29","29","29","1.9596301507222842","1.9596301507222842","1.9596301507222842","1.8366128557676107","1.8366128557676107","1.8366128557676107"
"30","30","30","30","1.965455985834814","1.965455985834814","1.965455985834814","1.8192827705961392","1.8192827705961392","1.8192827705961392"
"31","31","31","31","1.9527393705879577","1.9527393705879577","1.9527393705879577","1.8321322031363756","1.8321322031363756","1.8321322031363756"
