"epoch","cerulean-dew-1 - _step","cerulean-dew-1 - _step__MIN","cerulean-dew-1 - _step__MAX","cerulean-dew-1 - loss/train","cerulean-dew-1 - loss/train__MIN","cerulean-dew-1 - loss/train__MAX","cerulean-dew-1 - loss/val","cerulean-dew-1 - loss/val__MIN","cerulean-dew-1 - loss/val__MAX"
"0","0","0","0","2.495102474520037","2.495102474520037","2.495102474520037","2.4073118179528628","2.4073118179528628","2.4073118179528628"
"1","1","1","1","2.3039057795808855","2.3039057795808855","2.3039057795808855","2.2594677590379404","2.2594677590379404","2.2594677590379404"
"2","2","2","2","2.1618735768957116","2.1618735768957116","2.1618735768957116","2.1600750917006835","2.1600750917006835","2.1600750917006835"
"3","3","3","3","2.0698343250578377","2.0698343250578377","2.0698343250578377","2.0887258737002687","2.0887258737002687","2.0887258737002687"
"4","4","4","4","2.031954558807882","2.031954558807882","2.031954558807882","2.048498038924932","2.048498038924932","2.048498038924932"
"5","5","5","5","1.9656854233933054","1.9656854233933054","1.9656854233933054","2.0173194413907733","2.0173194413907733","2.0173194413907733"
"6","6","6","6","1.9580175216638382","1.9580175216638382","1.9580175216638382","1.9970928180717422","1.9970928180717422","1.9970928180717422"
"7","7","7","7","1.9211437013010288","1.9211437013010288","1.9211437013010288","1.9772801257563537","1.9772801257563537","1.9772801257563537"
"8","8","8","8","1.8912582857518656","1.8912582857518656","1.8912582857518656","1.962920769081309","1.962920769081309","1.962920769081309"
"9","9","9","9","1.8960156335358513","1.8960156335358513","1.8960156335358513","1.9576746526812145","1.9576746526812145","1.9576746526812145"
"10","10","10","10","1.8666401774372727","1.8666401774372727","1.8666401774372727","1.942616106891676","1.942616106891676","1.942616106891676"
"11","11","11","11","1.8713002009196085","1.8713002009196085","1.8713002009196085","1.939492227788457","1.939492227788457","1.939492227788457"
"12","12","12","12","1.868676387732231","1.868676387732231","1.868676387732231","1.9254302132903898","1.9254302132903898","1.9254302132903898"
"13","13","13","13","1.8391602782938032","1.8391602782938032","1.8391602782938032","1.927931758787488","1.927931758787488","1.927931758787488"
"14","14","14","14","1.844088954794092","1.844088954794092","1.844088954794092","1.917692836667469","1.917692836667469","1.917692836667469"
"15","15","15","15","1.8378327732008342","1.8378327732008342","1.8378327732008342","1.9137742007618839","1.9137742007618839","1.9137742007618839"
"16","16","16","16","1.8239307749433864","1.8239307749433864","1.8239307749433864","1.9095860333115424","1.9095860333115424","1.9095860333115424"
"17","17","17","17","1.8184636486699237","1.8184636486699237","1.8184636486699237","1.9024926223605527","1.9024926223605527","1.9024926223605527"
"18","18","18","18","1.7800152971680834","1.7800152971680834","1.7800152971680834","1.9004229415347091","1.9004229415347091","1.9004229415347091"
"19","19","19","19","1.800164616942323","1.800164616942323","1.800164616942323","1.900473865920198","1.900473865920198","1.900473865920198"
"20","20","20","20","1.7690249007266086","1.7690249007266086","1.7690249007266086","1.894100039030538","1.894100039030538","1.894100039030538"
"21","21","21","21","1.8035924530400134","1.8035924530400134","1.8035924530400134","1.896176007748309","1.896176007748309","1.896176007748309"
"22","22","22","22","1.7799734736072683","1.7799734736072683","1.7799734736072683","1.9000554302220847","1.9000554302220847","1.9000554302220847"
"23","23","23","23","1.7641362859551621","1.7641362859551621","1.7641362859551621","1.8891366644973087","1.8891366644973087","1.8891366644973087"
"24","24","24","24","1.7593373745631664","1.7593373745631664","1.7593373745631664","1.8821944855479589","1.8821944855479589","1.8821944855479589"
"25","25","25","25","1.7582530245142445","1.7582530245142445","1.7582530245142445","1.8818456776292574","1.8818456776292574","1.8818456776292574"
"26","26","26","26","1.75383871373802","1.75383871373802","1.75383871373802","1.8814244601980215","1.8814244601980215","1.8814244601980215"
"27","27","27","27","1.7388418781350719","1.7388418781350719","1.7388418781350719","1.8855753958033066","1.8855753958033066","1.8855753958033066"
"28","28","28","28","1.7306854853942524","1.7306854853942524","1.7306854853942524","1.881751989285993","1.881751989285993","1.881751989285993"
"29","29","29","29","1.733759791882069","1.733759791882069","1.733759791882069","1.8819033236395977","1.8819033236395977","1.8819033236395977"
"30","30","30","30","1.7497716756490083","1.7497716756490083","1.7497716756490083","1.8793790763229448","1.8793790763229448","1.8793790763229448"
"31","31","31","31","1.7251692714762392","1.7251692714762392","1.7251692714762392","1.8848495609142","1.8848495609142","1.8848495609142"
"32","32","32","32","1.718388326762684","1.718388326762684","1.718388326762684","1.8867109901396595","1.8867109901396595","1.8867109901396595"
"33","33","33","33","1.714021718143141","1.714021718143141","1.714021718143141","1.879852846985531","1.879852846985531","1.879852846985531"
"34","34","34","34","1.7276720757975335","1.7276720757975335","1.7276720757975335","1.8798602844152184","1.8798602844152184","1.8798602844152184"
"35","35","35","35","1.6860539605860403","1.6860539605860403","1.6860539605860403","1.881504481643754","1.881504481643754","1.881504481643754"
"36","36","36","36","1.696082829832434","1.696082829832434","1.696082829832434","1.8823859687227085","1.8823859687227085","1.8823859687227085"
"37","37","37","37","1.692154669161343","1.692154669161343","1.692154669161343","1.8844065274142385","1.8844065274142385","1.8844065274142385"
"38","38","38","38","1.6995515160264305","1.6995515160264305","1.6995515160264305","1.8851337645911554","1.8851337645911554","1.8851337645911554"
"39","39","39","39","1.6741824492833957","1.6741824492833957","1.6741824492833957","1.8821346154689569","1.8821346154689569","1.8821346154689569"
"40","40","40","40","1.6634322949275322","1.6634322949275322","1.6634322949275322","1.8840148078851686","1.8840148078851686","1.8840148078851686"
"41","41","41","41","1.6357475744803178","1.6357475744803178","1.6357475744803178","1.8941528310648366","1.8941528310648366","1.8941528310648366"
"42","42","42","42","1.668750657030715","1.668750657030715","1.668750657030715","1.8854402059346835","1.8854402059346835","1.8854402059346835"
"43","43","43","43","1.6358069179239272","1.6358069179239272","1.6358069179239272","1.8870327534185802","1.8870327534185802","1.8870327534185802"
"44","44","44","44","1.6855805601930107","1.6855805601930107","1.6855805601930107","1.8888832461389184","1.8888832461389184","1.8888832461389184"
"45","45","45","45","1.641759593877633","1.641759593877633","1.641759593877633","1.8874235097190193","1.8874235097190193","1.8874235097190193"
"46","46","46","46","1.6468391373662903","1.6468391373662903","1.6468391373662903","1.9027773944093906","1.9027773944093906","1.9027773944093906"
"47","47","47","47","1.6471752408214095","1.6471752408214095","1.6471752408214095","1.8917202409760077","1.8917202409760077","1.8917202409760077"
"48","48","48","48","1.6284488640215597","1.6284488640215597","1.6284488640215597","1.9022201483615364","1.9022201483615364","1.9022201483615364"
"49","49","49","49","1.6268730314479025","1.6268730314479025","1.6268730314479025","1.9012529147159993","1.9012529147159993","1.9012529147159993"
