"epoch","proud-dragon-1 - _step","proud-dragon-1 - _step__MIN","proud-dragon-1 - _step__MAX","proud-dragon-1 - loss/train","proud-dragon-1 - loss/train__MIN","proud-dragon-1 - loss/train__MAX","proud-dragon-1 - loss/val","proud-dragon-1 - loss/val__MIN","proud-dragon-1 - loss/val__MAX"
"0","0","0","0","2.310771224331138","2.310771224331138","2.310771224331138","2.1724420841362884","2.1724420841362884","2.1724420841362884"
"1","1","1","1","2.03990721961427","2.03990721961427","2.03990721961427","2.0526079889378313","2.0526079889378313","2.0526079889378313"
"2","2","2","2","1.9651152138310914","1.9651152138310914","1.9651152138310914","1.9853817146530572","1.9853817146530572","1.9853817146530572"
"3","3","3","3","1.9024980987404312","1.9024980987404312","1.9024980987404312","1.9531618430283915","1.9531618430283915","1.9531618430283915"
"4","4","4","4","1.881887720043705","1.881887720043705","1.881887720043705","1.9448644217671693","1.9448644217671693","1.9448644217671693"
"5","5","5","5","1.8545767125498114","1.8545767125498114","1.8545767125498114","1.932749895278565","1.932749895278565","1.932749895278565"
"6","6","6","6","1.8566816694110282","1.8566816694110282","1.8566816694110282","1.922196028420366","1.922196028420366","1.922196028420366"
"7","7","7","7","1.8218142357252207","1.8218142357252207","1.8218142357252207","1.9138123005669767","1.9138123005669767","1.9138123005669767"
"8","8","8","8","1.8262254388996753","1.8262254388996753","1.8262254388996753","1.9082412457806566","1.9082412457806566","1.9082412457806566"
"9","9","9","9","1.7877456942138472","1.7877456942138472","1.7877456942138472","1.898519499243706","1.898519499243706","1.898519499243706"
"10","10","10","10","1.8152749497666318","1.8152749497666318","1.8152749497666318","1.8967846362945509","1.8967846362945509","1.8967846362945509"
"11","11","11","11","1.7747148604263396","1.7747148604263396","1.7747148604263396","1.8955592255282654","1.8955592255282654","1.8955592255282654"
"12","12","12","12","1.8000981931167965","1.8000981931167965","1.8000981931167965","1.892906165079058","1.892906165079058","1.892906165079058"
"13","13","13","13","1.7870148025906885","1.7870148025906885","1.7870148025906885","1.8867140743162487","1.8867140743162487","1.8867140743162487"
"14","14","14","14","1.791456955340403","1.791456955340403","1.791456955340403","1.8993459444669796","1.8993459444669796","1.8993459444669796"
"15","15","15","15","1.7788238018060416","1.7788238018060416","1.7788238018060416","1.8819950300666497","1.8819950300666497","1.8819950300666497"
"16","16","16","16","1.7813216041286777","1.7813216041286777","1.7813216041286777","1.8856272648578962","1.8856272648578962","1.8856272648578962"
"17","17","17","17","1.7453499292862868","1.7453499292862868","1.7453499292862868","1.8795845052274567","1.8795845052274567","1.8795845052274567"
"18","18","18","18","1.779263697293244","1.779263697293244","1.779263697293244","1.8770209407542828","1.8770209407542828","1.8770209407542828"
"19","19","19","19","1.747197482587192","1.747197482587192","1.747197482587192","1.878851086958275","1.878851086958275","1.878851086958275"
"20","20","20","20","1.7711717877917086","1.7711717877917086","1.7711717877917086","1.8803721376961138","1.8803721376961138","1.8803721376961138"
"21","21","21","21","1.7625488940641585","1.7625488940641585","1.7625488940641585","1.873753305900377","1.873753305900377","1.873753305900377"
"22","22","22","22","1.7763086139279185","1.7763086139279185","1.7763086139279185","1.8830502921675054","1.8830502921675054","1.8830502921675054"
"23","23","23","23","1.7642802810195302","1.7642802810195302","1.7642802810195302","1.8807159348162348","1.8807159348162348","1.8807159348162348"
"24","24","24","24","1.76899967851196","1.76899967851196","1.76899967851196","1.8845587894697993","1.8845587894697993","1.8845587894697993"
"25","25","25","25","1.757056402060436","1.757056402060436","1.757056402060436","1.874020704032638","1.874020704032638","1.874020704032638"
"26","26","26","26","1.7739215406046422","1.7739215406046422","1.7739215406046422","1.8838324896040626","1.8838324896040626","1.8838324896040626"
"27","27","27","27","1.7511610774508504","1.7511610774508504","1.7511610774508504","1.8662451433180005","1.8662451433180005","1.8662451433180005"
"28","28","28","28","1.733062685596169","1.733062685596169","1.733062685596169","1.8687530424341197","1.8687530424341197","1.8687530424341197"
"29","29","29","29","1.7229885107982403","1.7229885107982403","1.7229885107982403","1.8751542290912033","1.8751542290912033","1.8751542290912033"
"30","30","30","30","1.802009325504046","1.802009325504046","1.802009325504046","1.8716134008643046","1.8716134008643046","1.8716134008643046"
"31","31","31","31","1.765723017472414","1.765723017472414","1.765723017472414","1.8759977465014148","1.8759977465014148","1.8759977465014148"
"32","32","32","32","1.742372190207874","1.742372190207874","1.742372190207874","1.8748363949965903","1.8748363949965903","1.8748363949965903"
"33","33","33","33","1.7722354222548296","1.7722354222548296","1.7722354222548296","1.8714250091691547","1.8714250091691547","1.8714250091691547"
"34","34","34","34","1.7193315230901443","1.7193315230901443","1.7193315230901443","1.8740035120324021","1.8740035120324021","1.8740035120324021"
"35","35","35","35","1.7424628502632147","1.7424628502632147","1.7424628502632147","1.8740713516175609","1.8740713516175609","1.8740713516175609"
"36","36","36","36","1.7519284012852434","1.7519284012852434","1.7519284012852434","1.8701439134429974","1.8701439134429974","1.8701439134429974"
"37","37","37","37","1.7399565924615612","1.7399565924615612","1.7399565924615612","1.872882795795105","1.872882795795105","1.872882795795105"
"38","38","38","38","1.7641653117236193","1.7641653117236193","1.7641653117236193","1.8697703133415704","1.8697703133415704","1.8697703133415704"
"39","39","39","39","1.7566854802861063","1.7566854802861063","1.7566854802861063","1.8719784031261337","1.8719784031261337","1.8719784031261337"
"40","40","40","40","1.746244343220981","1.746244343220981","1.746244343220981","1.8606303848466912","1.8606303848466912","1.8606303848466912"
"41","41","41","41","1.7620690207544905","1.7620690207544905","1.7620690207544905","1.8762879692865704","1.8762879692865704","1.8762879692865704"
"42","42","42","42","1.7515896072359791","1.7515896072359791","1.7515896072359791","1.879066203608045","1.879066203608045","1.879066203608045"
"43","43","43","43","1.750428519201598","1.750428519201598","1.750428519201598","1.8779741267024619","1.8779741267024619","1.8779741267024619"
"44","44","44","44","1.7568989993059636","1.7568989993059636","1.7568989993059636","1.8663637119193937","1.8663637119193937","1.8663637119193937"
"45","45","45","45","1.7555257703320408","1.7555257703320408","1.7555257703320408","1.8721850767271797","1.8721850767271797","1.8721850767271797"
"46","46","46","46","1.7416930892335871","1.7416930892335871","1.7416930892335871","1.8737831457261938","1.8737831457261938","1.8737831457261938"
"47","47","47","47","1.725590558822008","1.725590558822008","1.725590558822008","1.8636699425136367","1.8636699425136367","1.8636699425136367"
