"epoch","mild-field-1 - _step","mild-field-1 - _step__MIN","mild-field-1 - _step__MAX","mild-field-1 - loss/train","mild-field-1 - loss/train__MIN","mild-field-1 - loss/train__MAX","mild-field-1 - loss/val","mild-field-1 - loss/val__MIN","mild-field-1 - loss/val__MAX"
"0","0","0","0","2.4132758886856442","2.4132758886856442","2.4132758886856442","2.1963416857414124","2.1963416857414124","2.1963416857414124"
"1","1","1","1","2.169547480944346","2.169547480944346","2.169547480944346","2.046276923425183","2.046276923425183","2.046276923425183"
"2","2","2","2","2.0504373237931515","2.0504373237931515","2.0504373237931515","1.9910856505683467","1.9910856505683467","1.9910856505683467"
"3","3","3","3","2.013066653669233","2.013066653669233","2.013066653669233","1.959694176651486","1.959694176651486","1.959694176651486"
"4","4","4","4","1.9794608358095382","1.9794608358095382","1.9794608358095382","1.9500206941725855","1.9500206941725855","1.9500206941725855"
"5","5","5","5","1.9376360449565233","1.9376360449565233","1.9376360449565233","1.9323668885154144","1.9323668885154144","1.9323668885154144"
"6","6","6","6","1.9200534591308007","1.9200534591308007","1.9200534591308007","1.9191940798840728","1.9191940798840728","1.9191940798840728"
"7","7","7","7","1.9014873797371543","1.9014873797371543","1.9014873797371543","1.9117412460613559","1.9117412460613559","1.9117412460613559"
"8","8","8","8","1.8812108836935821","1.8812108836935821","1.8812108836935821","1.9026026152510185","1.9026026152510185","1.9026026152510185"
"9","9","9","9","1.86820775199924","1.86820775199924","1.86820775199924","1.8984226994885656","1.8984226994885656","1.8984226994885656"
"10","10","10","10","1.8321163661381197","1.8321163661381197","1.8321163661381197","1.9029912210070883","1.9029912210070883","1.9029912210070883"
"11","11","11","11","1.8304751959778147","1.8304751959778147","1.8304751959778147","1.8994074032527408","1.8994074032527408","1.8994074032527408"
"12","12","12","12","1.8465137643926948","1.8465137643926948","1.8465137643926948","1.9167497630275268","1.9167497630275268","1.9167497630275268"
"13","13","13","13","1.8186436962093828","1.8186436962093828","1.8186436962093828","1.908934965764032","1.908934965764032","1.908934965764032"
"14","14","14","14","1.803877706711109","1.803877706711109","1.803877706711109","1.9062815162785203","1.9062815162785203","1.9062815162785203"
"15","15","15","15","1.7850301988731474","1.7850301988731474","1.7850301988731474","1.9058125723017794","1.9058125723017794","1.9058125723017794"
"16","16","16","16","1.7676819845064151","1.7676819845064151","1.7676819845064151","1.9135508513132145","1.9135508513132145","1.9135508513132145"
"17","17","17","17","1.7724335010235126","1.7724335010235126","1.7724335010235126","1.902943290691121","1.902943290691121","1.902943290691121"
"18","18","18","18","1.7691583756864424","1.7691583756864424","1.7691583756864424","1.9112592459493714","1.9112592459493714","1.9112592459493714"
"19","19","19","19","1.7637546323460234","1.7637546323460234","1.7637546323460234","1.9147352009311573","1.9147352009311573","1.9147352009311573"
"20","20","20","20","1.7331987164429659","1.7331987164429659","1.7331987164429659","1.9146343795235177","1.9146343795235177","1.9146343795235177"
"21","21","21","21","1.7420495268861218","1.7420495268861218","1.7420495268861218","1.9117790755452455","1.9117790755452455","1.9117790755452455"
"22","22","22","22","1.7164604466342361","1.7164604466342361","1.7164604466342361","1.9217276782936787","1.9217276782936787","1.9217276782936787"
"23","23","23","23","1.7119260084699597","1.7119260084699597","1.7119260084699597","1.9167185732429888","1.9167185732429888","1.9167185732429888"
"24","24","24","24","1.677509526881946","1.677509526881946","1.677509526881946","1.929299727171481","1.929299727171481","1.929299727171481"
