"epoch","playful-sponge-1 - _step","playful-sponge-1 - _step__MIN","playful-sponge-1 - _step__MAX","playful-sponge-1 - loss/train","playful-sponge-1 - loss/train__MIN","playful-sponge-1 - loss/train__MAX","playful-sponge-1 - loss/val","playful-sponge-1 - loss/val__MIN","playful-sponge-1 - loss/val__MAX"
"0","0","0","0","2.0416252532162824","2.0416252532162824","2.0416252532162824","2.1249311491400897","2.1249311491400897","2.1249311491400897"
"1","1","1","1","1.684253997140736","1.684253997140736","1.684253997140736","2.046864618743306","2.046864618743306","2.046864618743306"
"2","2","2","2","1.6040156348028642","1.6040156348028642","1.6040156348028642","2.023565249034525","2.023565249034525","2.023565249034525"
"3","3","3","3","1.5917050179170664","1.5917050179170664","1.5917050179170664","2.003469290518091","2.003469290518091","2.003469290518091"
"4","4","4","4","1.5754668615904712","1.5754668615904712","1.5754668615904712","2.00754060381736","2.00754060381736","2.00754060381736"
"5","5","5","5","1.5654917954737662","1.5654917954737662","1.5654917954737662","1.9849211537085718","1.9849211537085718","1.9849211537085718"
"6","6","6","6","1.543968237594689","1.543968237594689","1.543968237594689","1.977080680598097","1.977080680598097","1.977080680598097"
"7","7","7","7","1.5377463048092073","1.5377463048092073","1.5377463048092073","1.9721812877387068","1.9721812877387068","1.9721812877387068"
"8","8","8","8","1.5139249149826113","1.5139249149826113","1.5139249149826113","1.9608188628711112","1.9608188628711112","1.9608188628711112"
"9","9","9","9","1.5075370509124952","1.5075370509124952","1.5075370509124952","1.9652640272098332","1.9652640272098332","1.9652640272098332"
"10","10","10","10","1.5180779921427476","1.5180779921427476","1.5180779921427476","1.9697790493453389","1.9697790493453389","1.9697790493453389"
"11","11","11","11","1.5120193064226568","1.5120193064226568","1.5120193064226568","1.9494060792993257","1.9494060792993257","1.9494060792993257"
"12","12","12","12","1.4893989436536663","1.4893989436536663","1.4893989436536663","1.9550837392029483","1.9550837392029483","1.9550837392029483"
"13","13","13","13","1.4995168963655034","1.4995168963655034","1.4995168963655034","1.9584960057295067","1.9584960057295067","1.9584960057295067"
"14","14","14","14","1.5097416263993604","1.5097416263993604","1.5097416263993604","1.9541603803964103","1.9541603803964103","1.9541603803964103"
"15","15","15","15","1.4845059708129122","1.4845059708129122","1.4845059708129122","1.9476312212217024","1.9476312212217024","1.9476312212217024"
"16","16","16","16","1.4952778012489827","1.4952778012489827","1.4952778012489827","1.9414266026662494","1.9414266026662494","1.9414266026662494"
"17","17","17","17","1.5011832778848713","1.5011832778848713","1.5011832778848713","1.9460355988958913","1.9460355988958913","1.9460355988958913"
"18","18","18","18","1.4881835611622722","1.4881835611622722","1.4881835611622722","1.9370655898727178","1.9370655898727178","1.9370655898727178"
"19","19","19","19","1.4936091381563383","1.4936091381563383","1.4936091381563383","1.9302062111370908","1.9302062111370908","1.9302062111370908"
"20","20","20","20","1.4966684864750908","1.4966684864750908","1.4966684864750908","1.9442896640339187","1.9442896640339187","1.9442896640339187"
"21","21","21","21","1.4994107688979592","1.4994107688979592","1.4994107688979592","1.9362499791869696","1.9362499791869696","1.9362499791869696"
"22","22","22","22","1.4538245518726904","1.4538245518726904","1.4538245518726904","1.9378324816271986","1.9378324816271986","1.9378324816271986"
"23","23","23","23","1.4783371331483008","1.4783371331483008","1.4783371331483008","1.939604196555051","1.939604196555051","1.939604196555051"
"24","24","24","24","1.5005259850471833","1.5005259850471833","1.5005259850471833","1.9454547065790213","1.9454547065790213","1.9454547065790213"
"25","25","25","25","1.4819245673569776","1.4819245673569776","1.4819245673569776","1.941861552118102","1.941861552118102","1.941861552118102"
"26","26","26","26","1.4834731075168344","1.4834731075168344","1.4834731075168344","1.940819628389131","1.940819628389131","1.940819628389131"
"27","27","27","27","1.471077552236071","1.471077552236071","1.471077552236071","1.9352516934708042","1.9352516934708042","1.9352516934708042"
"28","28","28","28","1.4904263701166836","1.4904263701166836","1.4904263701166836","1.9519297177206256","1.9519297177206256","1.9519297177206256"
"29","29","29","29","1.492654960330074","1.492654960330074","1.492654960330074","1.9429560433000752","1.9429560433000752","1.9429560433000752"
"30","30","30","30","1.4891959197693594","1.4891959197693594","1.4891959197693594","1.9318903153637816","1.9318903153637816","1.9318903153637816"
"31","31","31","31","1.4907549834080671","1.4907549834080671","1.4907549834080671","1.9314707503896438","1.9314707503896438","1.9314707503896438"
"32","32","32","32","1.4897548884435625","1.4897548884435625","1.4897548884435625","1.9369879294408185","1.9369879294408185","1.9369879294408185"
"33","33","33","33","1.4533595594255002","1.4533595594255002","1.4533595594255002","1.940971905270352","1.940971905270352","1.940971905270352"
"34","34","34","34","1.4755195273128165","1.4755195273128165","1.4755195273128165","1.9333690323625385","1.9333690323625385","1.9333690323625385"
