"epoch","vibrant-plant-1 - _step","vibrant-plant-1 - _step__MIN","vibrant-plant-1 - _step__MAX","vibrant-plant-1 - loss/train","vibrant-plant-1 - loss/train__MIN","vibrant-plant-1 - loss/train__MAX","vibrant-plant-1 - loss/val","vibrant-plant-1 - loss/val__MIN","vibrant-plant-1 - loss/val__MAX"
"0","0","0","0","2.4040640878697412","2.4040640878697412","2.4040640878697412","2.21483689005723","2.21483689005723","2.21483689005723"
"1","1","1","1","2.2150501948838075","2.2150501948838075","2.2150501948838075","2.0747084368873114","2.0747084368873114","2.0747084368873114"
"2","2","2","2","2.1330805536376776","2.1330805536376776","2.1330805536376776","2.0109377474567407","2.0109377474567407","2.0109377474567407"
"3","3","3","3","2.0800787300159573","2.0800787300159573","2.0800787300159573","1.9706376758054456","1.9706376758054456","1.9706376758054456"
"4","4","4","4","2.0497542145173058","2.0497542145173058","2.0497542145173058","1.93219692769659","1.93219692769659","1.93219692769659"
"5","5","5","5","2.0254109744616744","2.0254109744616744","2.0254109744616744","1.92026941861935","1.92026941861935","1.92026941861935"
"6","6","6","6","2.020062231326013","2.020062231326013","2.020062231326013","1.8958881577276954","1.8958881577276954","1.8958881577276954"
"7","7","7","7","1.9856488557360963","1.9856488557360963","1.9856488557360963","1.8940092041875733","1.8940092041875733","1.8940092041875733"
"8","8","8","8","2.023323383988729","2.023323383988729","2.023323383988729","1.8918451477667528","1.8918451477667528","1.8918451477667528"
"9","9","9","9","1.9835104974892621","1.9835104974892621","1.9835104974892621","1.882245942613926","1.882245942613926","1.882245942613926"
"10","10","10","10","1.9804568691582376","1.9804568691582376","1.9804568691582376","1.8753377418812383","1.8753377418812383","1.8753377418812383"
"11","11","11","11","1.979019628647447","1.979019628647447","1.979019628647447","1.8592959756622771","1.8592959756622771","1.8592959756622771"
"12","12","12","12","1.9539980303093685","1.9539980303093685","1.9539980303093685","1.847087443451462","1.847087443451462","1.847087443451462"
"13","13","13","13","1.9900887320150895","1.9900887320150895","1.9900887320150895","1.8664664010307526","1.8664664010307526","1.8664664010307526"
"14","14","14","14","1.9910389677523164","1.9910389677523164","1.9910389677523164","1.8490096239492346","1.8490096239492346","1.8490096239492346"
"15","15","15","15","1.9768042717725602","1.9768042717725602","1.9768042717725602","1.8387841956508924","1.8387841956508924","1.8387841956508924"
"16","16","16","16","1.961272621716006","1.961272621716006","1.961272621716006","1.8444395448578388","1.8444395448578388","1.8444395448578388"
"17","17","17","17","1.9544759862009042","1.9544759862009042","1.9544759862009042","1.8380305616057233","1.8380305616057233","1.8380305616057233"
"18","18","18","18","1.9537106011283654","1.9537106011283654","1.9537106011283654","1.8427025362512912","1.8427025362512912","1.8427025362512912"
"19","19","19","19","1.961551030977978","1.961551030977978","1.961551030977978","1.8442208946492473","1.8442208946492473","1.8442208946492473"
"20","20","20","20","1.935578766165786","1.935578766165786","1.935578766165786","1.8460448063336885","1.8460448063336885","1.8460448063336885"
"21","21","21","21","1.9501873122989355","1.9501873122989355","1.9501873122989355","1.8231093831350045","1.8231093831350045","1.8231093831350045"
"22","22","22","22","1.9438389170415364","1.9438389170415364","1.9438389170415364","1.8500008925157228","1.8500008925157228","1.8500008925157228"
"23","23","23","23","1.9541678207168163","1.9541678207168163","1.9541678207168163","1.8402275621259558","1.8402275621259558","1.8402275621259558"
"24","24","24","24","1.962016097233545","1.962016097233545","1.962016097233545","1.850210162638959","1.850210162638959","1.850210162638959"
"25","25","25","25","1.9426740786266607","1.9426740786266607","1.9426740786266607","1.8413796900385044","1.8413796900385044","1.8413796900385044"
"26","26","26","26","1.931351905111607","1.931351905111607","1.931351905111607","1.8413972084778127","1.8413972084778127","1.8413972084778127"
"27","27","27","27","1.939692898225564","1.939692898225564","1.939692898225564","1.8425341501921237","1.8425341501921237","1.8425341501921237"
"28","28","28","28","1.915462646478362","1.915462646478362","1.915462646478362","1.831481089958778","1.831481089958778","1.831481089958778"
"29","29","29","29","1.9240696062406304","1.9240696062406304","1.9240696062406304","1.8329462835943573","1.8329462835943573","1.8329462835943573"
"30","30","30","30","1.917537045909758","1.917537045909758","1.917537045909758","1.8414133567515742","1.8414133567515742","1.8414133567515742"
"31","31","31","31","1.9219583076506714","1.9219583076506714","1.9219583076506714","1.8295621707218686","1.8295621707218686","1.8295621707218686"
