"epoch","crimson-mountain-1 - _step","crimson-mountain-1 - _step__MIN","crimson-mountain-1 - _step__MAX","crimson-mountain-1 - loss/train","crimson-mountain-1 - loss/train__MIN","crimson-mountain-1 - loss/train__MAX","crimson-mountain-1 - loss/val","crimson-mountain-1 - loss/val__MIN","crimson-mountain-1 - loss/val__MAX"
"25","25","25","25","1.6925846874143236","1.6925846874143236","1.6925846874143236","1.884150544820651","1.884150544820651","1.884150544820651"
"26","26","26","26","1.696186223877031","1.696186223877031","1.696186223877031","1.880914841528479","1.880914841528479","1.880914841528479"
"27","27","27","27","1.703009077746233","1.703009077746233","1.703009077746233","1.881642136031282","1.881642136031282","1.881642136031282"
"28","28","28","28","1.6617439397611646","1.6617439397611646","1.6617439397611646","1.8798189008362225","1.8798189008362225","1.8798189008362225"
"29","29","29","29","1.6583177235465745","1.6583177235465745","1.6583177235465745","1.8786698564962547","1.8786698564962547","1.8786698564962547"
"30","30","30","30","1.6807667515938256","1.6807667515938256","1.6807667515938256","1.8776709527147908","1.8776709527147908","1.8776709527147908"
"31","31","31","31","1.6491597990896805","1.6491597990896805","1.6491597990896805","1.8819912370587757","1.8819912370587757","1.8819912370587757"
"32","32","32","32","1.6707961013506805","1.6707961013506805","1.6707961013506805","1.884208278796575","1.884208278796575","1.884208278796575"
"33","33","33","33","1.644627138465574","1.644627138465574","1.644627138465574","1.879071875301609","1.879071875301609","1.879071875301609"
"34","34","34","34","1.659826785434233","1.659826785434233","1.659826785434233","1.8809245171935698","1.8809245171935698","1.8809245171935698"
"35","35","35","35","1.6595512475145655","1.6595512475145655","1.6595512475145655","1.8815776559407125","1.8815776559407125","1.8815776559407125"
"36","36","36","36","1.6576384359163276","1.6576384359163276","1.6576384359163276","1.8777974772046975","1.8777974772046975","1.8777974772046975"
"37","37","37","37","1.6405400949171487","1.6405400949171487","1.6405400949171487","1.8819065169769738","1.8819065169769738","1.8819065169769738"
"38","38","38","38","1.641480533979875","1.641480533979875","1.641480533979875","1.878430962617471","1.878430962617471","1.878430962617471"
"39","39","39","39","1.6491470943704696","1.6491470943704696","1.6491470943704696","1.878111803053931","1.878111803053931","1.878111803053931"
"40","40","40","40","1.6586991972874476","1.6586991972874476","1.6586991972874476","1.8799849204454813","1.8799849204454813","1.8799849204454813"
"41","41","41","41","1.6547988426335065","1.6547988426335065","1.6547988426335065","1.8841304326046453","1.8841304326046453","1.8841304326046453"
"42","42","42","42","1.6343766394602894","1.6343766394602894","1.6343766394602894","1.884923780694748","1.884923780694748","1.884923780694748"
"43","43","43","43","1.6479068480296748","1.6479068480296748","1.6479068480296748","1.879989643186976","1.879989643186976","1.879989643186976"
"44","44","44","44","1.6309174087977165","1.6309174087977165","1.6309174087977165","1.8764918785060072","1.8764918785060072","1.8764918785060072"
"45","45","45","45","1.641052306646874","1.641052306646874","1.641052306646874","1.8760092593403468","1.8760092593403468","1.8760092593403468"
"46","46","46","46","1.6370947850659643","1.6370947850659643","1.6370947850659643","1.8776932724715927","1.8776932724715927","1.8776932724715927"
"47","47","47","47","1.652211673206998","1.652211673206998","1.652211673206998","1.8826154242567839","1.8826154242567839","1.8826154242567839"
"48","48","48","48","1.6229764218612173","1.6229764218612173","1.6229764218612173","1.8841320468993958","1.8841320468993958","1.8841320468993958"
