"epoch","glowing-resonance-1 - _step","glowing-resonance-1 - _step__MIN","glowing-resonance-1 - _step__MAX","glowing-resonance-1 - loss/train","glowing-resonance-1 - loss/train__MIN","glowing-resonance-1 - loss/train__MAX","glowing-resonance-1 - loss/val","glowing-resonance-1 - loss/val__MIN","glowing-resonance-1 - loss/val__MAX"
"32","32","32","32","1.5799103816750237","1.5799103816750237","1.5799103816750237","1.8786924984640705","1.8786924984640705","1.8786924984640705"
"33","33","33","33","1.5611333972046089","1.5611333972046089","1.5611333972046089","1.8891138907458473","1.8891138907458473","1.8891138907458473"
"34","34","34","34","1.5626958380541762","1.5626958380541762","1.5626958380541762","1.8806213235481715","1.8806213235481715","1.8806213235481715"
"35","35","35","35","1.558654419692914","1.558654419692914","1.558654419692914","1.8784647491987485","1.8784647491987485","1.8784647491987485"
"36","36","36","36","1.5469460824413246","1.5469460824413246","1.5469460824413246","1.8863171126533906","1.8863171126533906","1.8863171126533906"
"37","37","37","37","1.5526810117456915","1.5526810117456915","1.5526810117456915","1.8842940009831832","1.8842940009831832","1.8842940009831832"
"38","38","38","38","1.5472289540873694","1.5472289540873694","1.5472289540873694","1.8808302887569974","1.8808302887569974","1.8808302887569974"
"39","39","39","39","1.5430651658294112","1.5430651658294112","1.5430651658294112","1.8905936853504577","1.8905936853504577","1.8905936853504577"
"40","40","40","40","1.542982523368102","1.542982523368102","1.542982523368102","1.892250077892481","1.892250077892481","1.892250077892481"
"41","41","41","41","1.526021662257444","1.526021662257444","1.526021662257444","1.8927950419791004","1.8927950419791004","1.8927950419791004"
"42","42","42","42","1.526149325306146","1.526149325306146","1.526149325306146","1.8971489274188815","1.8971489274188815","1.8971489274188815"
"43","43","43","43","1.5193833043911478","1.5193833043911478","1.5193833043911478","1.899305560796396","1.899305560796396","1.899305560796396"
"44","44","44","44","1.529883813659697","1.529883813659697","1.529883813659697","1.8927176164515498","1.8927176164515498","1.8927176164515498"
"45","45","45","45","1.5363535691766972","1.5363535691766972","1.5363535691766972","1.8922286730985496","1.8922286730985496","1.8922286730985496"
