"epoch","glowing-resonance-1 - _step","glowing-resonance-1 - _step__MIN","glowing-resonance-1 - _step__MAX","glowing-resonance-1 - loss/train","glowing-resonance-1 - loss/train__MIN","glowing-resonance-1 - loss/train__MAX","glowing-resonance-1 - loss/val","glowing-resonance-1 - loss/val__MIN","glowing-resonance-1 - loss/val__MAX"
"0","0","0","0","2.393892221704479","2.393892221704479","2.393892221704479","2.3377199832990057","2.3377199832990057","2.3377199832990057"
"1","1","1","1","2.0557203972083755","2.0557203972083755","2.0557203972083755","2.1918823117212676","2.1918823117212676","2.1918823117212676"
"2","2","2","2","1.8886966477848854","1.8886966477848854","1.8886966477848854","2.1015408523397916","2.1015408523397916","2.1015408523397916"
"3","3","3","3","1.8412961584838299","1.8412961584838299","1.8412961584838299","2.0584594274324957","2.0584594274324957","2.0584594274324957"
"4","4","4","4","1.786278036018533","1.786278036018533","1.786278036018533","2.0241516460091877","2.0241516460091877","2.0241516460091877"
"5","5","5","5","1.7573944824951757","1.7573944824951757","1.7573944824951757","2.0031226043709958","2.0031226043709958","2.0031226043709958"
"6","6","6","6","1.7477564820643874","1.7477564820643874","1.7477564820643874","1.9762674107193563","1.9762674107193563","1.9762674107193563"
"7","7","7","7","1.7543097411360695","1.7543097411360695","1.7543097411360695","1.9722284110994834","1.9722284110994834","1.9722284110994834"
"8","8","8","8","1.7223289825593813","1.7223289825593813","1.7223289825593813","1.951956916107993","1.951956916107993","1.951956916107993"
"9","9","9","9","1.7052379413540877","1.7052379413540877","1.7052379413540877","1.9485576156645203","1.9485576156645203","1.9485576156645203"
"10","10","10","10","1.697392376808338","1.697392376808338","1.697392376808338","1.9348117637502493","1.9348117637502493","1.9348117637502493"
"11","11","11","11","1.6918534709281643","1.6918534709281643","1.6918534709281643","1.9299613979213088","1.9299613979213088","1.9299613979213088"
"12","12","12","12","1.6765479459965316","1.6765479459965316","1.6765479459965316","1.9231047211896983","1.9231047211896983","1.9231047211896983"
"13","13","13","13","1.6804360600238686","1.6804360600238686","1.6804360600238686","1.9242632168330998","1.9242632168330998","1.9242632168330998"
"14","14","14","14","1.6569244197914215","1.6569244197914215","1.6569244197914215","1.912293577128322","1.912293577128322","1.912293577128322"
"15","15","15","15","1.6647546857463833","1.6647546857463833","1.6647546857463833","1.9000666904756958","1.9000666904756958","1.9000666904756958"
"16","16","16","16","1.6467778038363983","1.6467778038363983","1.6467778038363983","1.8911438316642166","1.8911438316642166","1.8911438316642166"
"17","17","17","17","1.6343059593296472","1.6343059593296472","1.6343059593296472","1.8937899321798133","1.8937899321798133","1.8937899321798133"
"18","18","18","18","1.6274730783964777","1.6274730783964777","1.6274730783964777","1.895719659981888","1.895719659981888","1.895719659981888"
"19","19","19","19","1.6411839088179607","1.6411839088179607","1.6411839088179607","1.8927267525724307","1.8927267525724307","1.8927267525724307"
"20","20","20","20","1.6184366948797777","1.6184366948797777","1.6184366948797777","1.882618456818112","1.882618456818112","1.882618456818112"
"21","21","21","21","1.6198743738603627","1.6198743738603627","1.6198743738603627","1.8860018157783274","1.8860018157783274","1.8860018157783274"
"22","22","22","22","1.6287386514352824","1.6287386514352824","1.6287386514352824","1.8838915522885948","1.8838915522885948","1.8838915522885948"
"23","23","23","23","1.6107668463816764","1.6107668463816764","1.6107668463816764","1.8836324779408586","1.8836324779408586","1.8836324779408586"
"24","24","24","24","1.5995411287162586","1.5995411287162586","1.5995411287162586","1.8825795489047212","1.8825795489047212","1.8825795489047212"
"25","25","25","25","1.5841263958936944","1.5841263958936944","1.5841263958936944","1.8800109088393413","1.8800109088393413","1.8800109088393413"
"26","26","26","26","1.6050125898197836","1.6050125898197836","1.6050125898197836","1.876516030714403","1.876516030714403","1.876516030714403"
"27","27","27","27","1.5861773873864227","1.5861773873864227","1.5861773873864227","1.8836302559587714","1.8836302559587714","1.8836302559587714"
"28","28","28","28","1.577479283655646","1.577479283655646","1.577479283655646","1.8793311964691317","1.8793311964691317","1.8793311964691317"
"29","29","29","29","1.5852832329815585","1.5852832329815585","1.5852832329815585","1.8814600038396658","1.8814600038396658","1.8814600038396658"
"30","30","30","30","1.5663177550322616","1.5663177550322616","1.5663177550322616","1.8798883139181115","1.8798883139181115","1.8798883139181115"
"31","31","31","31","1.5816670518961116","1.5816670518961116","1.5816670518961116","1.8805368474857536","1.8805368474857536","1.8805368474857536"
