"epoch","crimson-smoke-1 - _step","crimson-smoke-1 - _step__MIN","crimson-smoke-1 - _step__MAX","crimson-smoke-1 - loss/train","crimson-smoke-1 - loss/train__MIN","crimson-smoke-1 - loss/train__MAX","crimson-smoke-1 - loss/val","crimson-smoke-1 - loss/val__MIN","crimson-smoke-1 - loss/val__MAX"
"36","36","36","36","1.6684499576328689","1.6684499576328689","1.6684499576328689","1.8884506345838514","1.8884506345838514","1.8884506345838514"
"37","37","37","37","1.634764211710706","1.634764211710706","1.634764211710706","1.8792525298141873","1.8792525298141873","1.8792525298141873"
"38","38","38","38","1.6321342558465646","1.6321342558465646","1.6321342558465646","1.8774971454058964","1.8774971454058964","1.8774971454058964"
"39","39","39","39","1.6531260136292294","1.6531260136292294","1.6531260136292294","1.8839477389597883","1.8839477389597883","1.8839477389597883"
"40","40","40","40","1.6421589900495668","1.6421589900495668","1.6421589900495668","1.887802825386982","1.887802825386982","1.887802825386982"
"41","41","41","41","1.6446019938929555","1.6446019938929555","1.6446019938929555","1.8710370002282704","1.8710370002282704","1.8710370002282704"
"42","42","42","42","1.6185732052325414","1.6185732052325414","1.6185732052325414","1.8716036412969594","1.8716036412969594","1.8716036412969594"
"43","43","43","43","1.6520520662151574","1.6520520662151574","1.6520520662151574","1.8802907653032828","1.8802907653032828","1.8802907653032828"
"44","44","44","44","1.6249564427438448","1.6249564427438448","1.6249564427438448","1.876677226493129","1.876677226493129","1.876677226493129"
"45","45","45","45","1.63681297354196","1.63681297354196","1.63681297354196","1.8733505643715456","1.8733505643715456","1.8733505643715456"
