"epoch","fresh-plant-1 - _step","fresh-plant-1 - _step__MIN","fresh-plant-1 - _step__MAX","fresh-plant-1 - loss/train","fresh-plant-1 - loss/train__MIN","fresh-plant-1 - loss/train__MAX","fresh-plant-1 - loss/val","fresh-plant-1 - loss/val__MIN","fresh-plant-1 - loss/val__MAX"
"0","0","0","0","2.173150994976499","2.173150994976499","2.173150994976499","2.139064205675727","2.139064205675727","2.139064205675727"
"1","1","1","1","1.8691693878416158","1.8691693878416158","1.8691693878416158","2.038392501347409","2.038392501347409","2.038392501347409"
"2","2","2","2","1.8285686853549363","1.8285686853549363","1.8285686853549363","2.0021475579320205","2.0021475579320205","2.0021475579320205"
"3","3","3","3","1.780858630009407","1.780858630009407","1.780858630009407","1.968034352645628","1.968034352645628","1.968034352645628"
"4","4","4","4","1.7651518190890159","1.7651518190890159","1.7651518190890159","1.9401954357550475","1.9401954357550475","1.9401954357550475"
"5","5","5","5","1.7432208437378782","1.7432208437378782","1.7432208437378782","1.93696151642907","1.93696151642907","1.93696151642907"
"6","6","6","6","1.72666558428487","1.72666558428487","1.72666558428487","1.931115271418065","1.931115271418065","1.931115271418065"
"7","7","7","7","1.7077421780738469","1.7077421780738469","1.7077421780738469","1.9235251106901796","1.9235251106901796","1.9235251106901796"
"8","8","8","8","1.673436306287907","1.673436306287907","1.673436306287907","1.9189416012528964","1.9189416012528964","1.9189416012528964"
"9","9","9","9","1.6719560244805434","1.6719560244805434","1.6719560244805434","1.914937539289537","1.914937539289537","1.914937539289537"
"10","10","10","10","1.6907663792543859","1.6907663792543859","1.6907663792543859","1.904387913558517","1.904387913558517","1.904387913558517"
"11","11","11","11","1.660654356474688","1.660654356474688","1.660654356474688","1.908733081070853","1.908733081070853","1.908733081070853"
"12","12","12","12","1.6418165415972918","1.6418165415972918","1.6418165415972918","1.896873032041872","1.896873032041872","1.896873032041872"
"13","13","13","13","1.6104899485410293","1.6104899485410293","1.6104899485410293","1.9178227503032852","1.9178227503032852","1.9178227503032852"
"14","14","14","14","1.6138908519951953","1.6138908519951953","1.6138908519951953","1.9064389461199296","1.9064389461199296","1.9064389461199296"
"15","15","15","15","1.6234942584865004","1.6234942584865004","1.6234942584865004","1.9142685146279073","1.9142685146279073","1.9142685146279073"
"16","16","16","16","1.6117802172947437","1.6117802172947437","1.6117802172947437","1.9228909906293323","1.9228909906293323","1.9228909906293323"
"17","17","17","17","1.5995241136742564","1.5995241136742564","1.5995241136742564","1.9268812844413923","1.9268812844413923","1.9268812844413923"
"18","18","18","18","1.5786723048561961","1.5786723048561961","1.5786723048561961","1.92528257113017","1.92528257113017","1.92528257113017"
"19","19","19","19","1.5986728923208968","1.5986728923208968","1.5986728923208968","1.9252857605689464","1.9252857605689464","1.9252857605689464"
"20","20","20","20","1.5721940069006948","1.5721940069006948","1.5721940069006948","1.93105493751554","1.93105493751554","1.93105493751554"
"21","21","21","21","1.5553373053487494","1.5553373053487494","1.5553373053487494","1.937530833035227","1.937530833035227","1.937530833035227"
"22","22","22","22","1.5773604568803963","1.5773604568803963","1.5773604568803963","1.928083022417203","1.928083022417203","1.928083022417203"
"23","23","23","23","1.5502778714400953","1.5502778714400953","1.5502778714400953","1.9354680257148866","1.9354680257148866","1.9354680257148866"
"24","24","24","24","1.5339611402200093","1.5339611402200093","1.5339611402200093","1.9335171992962177","1.9335171992962177","1.9335171992962177"
