"Relative Time (Process)","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes__MIN","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes__MAX","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes__MIN","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes__MAX"
"10.356714509","9372041216","9372041216","9372041216","9372041216","9372041216","9372041216"
"20.350501376","9378332672","9378332672","9378332672","9372041216","9372041216","9372041216"
"30.352225409","9378332672","9378332672","9378332672","9372041216","9372041216","9372041216"
"40.357730076","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"50.360327671","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"60.350863958","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"70.352585873","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"80.350756194","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"90.36066179","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"100.357132548","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"110.352467918","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"120.358087368","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"130.351942252","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"140.356097756","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"150.361746315","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"160.358195643","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"170.355828364","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"180.361009145","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"190.351284692","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"200.353025067","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"210.358235532","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"220.356358912","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"230.351264131","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"240.352114823","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"250.367606026","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"260.351171727","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"270.353123345","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"280.361007259","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"290.352639485","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"300.359608464","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
"310.351138027","7891451904","7891451904","7891451904","9372041216","9372041216","9372041216"
