"Relative Time (Process)","bih_textual_inversions - system/gpu.0.memoryAllocatedBytes","bih_textual_inversions - system/gpu.0.memoryAllocatedBytes__MIN","bih_textual_inversions - system/gpu.0.memoryAllocatedBytes__MAX"
"1170.56091608","8605138944","8605138944","8605138944"
"1180.559747553","8605138944","8605138944","8605138944"
"1190.559443445","8605138944","8605138944","8605138944"
"1200.560121726","8605138944","8605138944","8605138944"
"1210.559205469","8605138944","8605138944","8605138944"
"1220.560787276","8605138944","8605138944","8605138944"
"1230.563410013","8605138944","8605138944","8605138944"
"1240.559859277","8605138944","8605138944","8605138944"
"1250.558054532","8605138944","8605138944","8605138944"
"1260.559371996","8605138944","8605138944","8605138944"
"1270.559659329","6835142656","6835142656","6835142656"
"1280.556747362","6835142656","6835142656","6835142656"
"1290.557318039","6835142656","6835142656","6835142656"
"1300.557703388","6835142656","6835142656","6835142656"
"1310.55979806","6835142656","6835142656","6835142656"
"1320.559647203","6835142656","6835142656","6835142656"
"1330.560337216","6835142656","6835142656","6835142656"
"1340.561431398","6835142656","6835142656","6835142656"
"1350.559714329","6835142656","6835142656","6835142656"
"1360.559382949","6835142656","6835142656","6835142656"
"1370.560007456","6835142656","6835142656","6835142656"
"1380.562075167","6835142656","6835142656","6835142656"
"1390.559639026","6835142656","6835142656","6835142656"
"1400.564581059","6835142656","6835142656","6835142656"
"1410.559677009","6835142656","6835142656","6835142656"
"1420.559960186","6835142656","6835142656","6835142656"
"1430.561638973","6835142656","6835142656","6835142656"
"1440.55955306","6835142656","6835142656","6835142656"
"1450.559523381","6835142656","6835142656","6835142656"
"1460.559051374","6835142656","6835142656","6835142656"
"1470.559800712","6835142656","6835142656","6835142656"
"1480.559614811","6835142656","6835142656","6835142656"
"1490.559831291","6835142656","6835142656","6835142656"
"1500.559713427","6835142656","6835142656","6835142656"
"1510.559559703","6835142656","6835142656","6835142656"
"1520.560035121","6835142656","6835142656","6835142656"
"1530.559265364","6835142656","6835142656","6835142656"
