"epoch","breezy-sky-1 - _step","breezy-sky-1 - _step__MIN","breezy-sky-1 - _step__MAX","breezy-sky-1 - loss/train","breezy-sky-1 - loss/train__MIN","breezy-sky-1 - loss/train__MAX","breezy-sky-1 - loss/val","breezy-sky-1 - loss/val__MIN","breezy-sky-1 - loss/val__MAX"
"0","0","0","0","2.5189785231634847","2.5189785231634847","2.5189785231634847","2.4494303908012034","2.4494303908012034","2.4494303908012034"
"1","1","1","1","2.3105107214210894","2.3105107214210894","2.3105107214210894","2.251112324419465","2.251112324419465","2.251112324419465"
"2","2","2","2","2.080938176450805","2.080938176450805","2.080938176450805","2.111691503467674","2.111691503467674","2.111691503467674"
"3","3","3","3","1.9045159826563607","1.9045159826563607","1.9045159826563607","1.9927703169071966","1.9927703169071966","1.9927703169071966"
"4","4","4","4","1.807815612119735","1.807815612119735","1.807815612119735","1.8998128558457146","1.8998128558457146","1.8998128558457146"
"5","5","5","5","1.7488919774021188","1.7488919774021188","1.7488919774021188","1.8614128182308842","1.8614128182308842","1.8614128182308842"
"6","6","6","6","1.6872762112196353","1.6872762112196353","1.6872762112196353","1.8063806003274483","1.8063806003274483","1.8063806003274483"
"7","7","7","7","1.6371794271626998","1.6371794271626998","1.6371794271626998","1.7826634086479738","1.7826634086479738","1.7826634086479738"
"8","8","8","8","1.5923791250033696","1.5923791250033696","1.5923791250033696","1.7393088074446492","1.7393088074446492","1.7393088074446492"
"9","9","9","9","1.5817818097340517","1.5817818097340517","1.5817818097340517","1.7218906452226397","1.7218906452226397","1.7218906452226397"
"10","10","10","10","1.5574345109809158","1.5574345109809158","1.5574345109809158","1.7057465455983434","1.7057465455983434","1.7057465455983434"
"11","11","11","11","1.5641571723846637","1.5641571723846637","1.5641571723846637","1.6928689647852029","1.6928689647852029","1.6928689647852029"
"12","12","12","12","1.5224490383622864","1.5224490383622864","1.5224490383622864","1.6797587577783804","1.6797587577783804","1.6797587577783804"
"13","13","13","13","1.5068426166532074","1.5068426166532074","1.5068426166532074","1.6713770601069635","1.6713770601069635","1.6713770601069635"
