"epoch","fancy-sweep-1 - _step","fancy-sweep-1 - _step__MIN","fancy-sweep-1 - _step__MAX","fancy-sweep-1 - loss/train","fancy-sweep-1 - loss/train__MIN","fancy-sweep-1 - loss/train__MAX","fancy-sweep-1 - loss/val","fancy-sweep-1 - loss/val__MIN","fancy-sweep-1 - loss/val__MAX"
"0","0","0","0","2.531886817728486","2.531886817728486","2.531886817728486","2.480937014302588","2.480937014302588","2.480937014302588"
"1","1","1","1","2.4320635387706075","2.4320635387706075","2.4320635387706075","2.310380946925465","2.310380946925465","2.310380946925465"
"2","2","2","2","2.326131131980739","2.326131131980739","2.326131131980739","2.2005242443150608","2.2005242443150608","2.2005242443150608"
"3","3","3","3","2.2392251984619103","2.2392251984619103","2.2392251984619103","2.1139957353520757","2.1139957353520757","2.1139957353520757"
"4","4","4","4","2.150813351663635","2.150813351663635","2.150813351663635","2.0017986906008587","2.0017986906008587","2.0017986906008587"
"5","5","5","5","2.067069050643363","2.067069050643363","2.067069050643363","1.9153256995619743","1.9153256995619743","1.9153256995619743"
"6","6","6","6","2.014485433754073","2.014485433754073","2.014485433754073","1.8570424845448181","1.8570424845448181","1.8570424845448181"
"7","7","7","7","1.9512673363358897","1.9512673363358897","1.9512673363358897","1.816360023646572","1.816360023646572","1.816360023646572"
"8","8","8","8","1.9495139286366767","1.9495139286366767","1.9495139286366767","1.7816610577907062","1.7816610577907062","1.7816610577907062"
"9","9","9","9","1.8866746232207956","1.8866746232207956","1.8866746232207956","1.7442800093224278","1.7442800093224278","1.7442800093224278"
"10","10","10","10","1.854706566691549","1.854706566691549","1.854706566691549","1.7326768747072294","1.7326768747072294","1.7326768747072294"
"11","11","11","11","1.834344028374286","1.834344028374286","1.834344028374286","1.7099689708114054","1.7099689708114054","1.7099689708114054"
"12","12","12","12","1.7891499406402478","1.7891499406402478","1.7891499406402478","1.6883087932432044","1.6883087932432044","1.6883087932432044"
"13","13","13","13","1.8103247719083628","1.8103247719083628","1.8103247719083628","1.6851177998590667","1.6851177998590667","1.6851177998590667"
"14","14","14","14","1.7830889927534157","1.7830889927534157","1.7830889927534157","1.6617650825930104","1.6617650825930104","1.6617650825930104"
"15","15","15","15","1.7606473015155448","1.7606473015155448","1.7606473015155448","1.6535246371124703","1.6535246371124703","1.6535246371124703"
"16","16","16","16","1.7368045598832236","1.7368045598832236","1.7368045598832236","1.6420972133111098","1.6420972133111098","1.6420972133111098"
"17","17","17","17","1.703134876331796","1.703134876331796","1.703134876331796","1.6350897256266077","1.6350897256266077","1.6350897256266077"
"18","18","18","18","1.6912666191419365","1.6912666191419365","1.6912666191419365","1.6424350658906104","1.6424350658906104","1.6424350658906104"
"19","19","19","19","1.6999903181211544","1.6999903181211544","1.6999903181211544","1.6331003709961773","1.6331003709961773","1.6331003709961773"
"20","20","20","20","1.6618129704969677","1.6618129704969677","1.6618129704969677","1.6208507348073347","1.6208507348073347","1.6208507348073347"
"21","21","21","21","1.6529473739293705","1.6529473739293705","1.6529473739293705","1.6137547787297766","1.6137547787297766","1.6137547787297766"
"22","22","22","22","1.6507357474684263","1.6507357474684263","1.6507357474684263","1.6256342810565345","1.6256342810565345","1.6256342810565345"
"23","23","23","23","1.6387780433745383","1.6387780433745383","1.6387780433745383","1.6042146404346307","1.6042146404346307","1.6042146404346307"
"24","24","24","24","1.64646614585017","1.64646614585017","1.64646614585017","1.6249794594322355","1.6249794594322355","1.6249794594322355"
"25","25","25","25","1.593334530320875","1.593334530320875","1.593334530320875","1.6057790194387975","1.6057790194387975","1.6057790194387975"
"26","26","26","26","1.5811560197054915","1.5811560197054915","1.5811560197054915","1.6074650700001165","1.6074650700001165","1.6074650700001165"
"27","27","27","27","1.5773822608841923","1.5773822608841923","1.5773822608841923","1.6146379593933085","1.6146379593933085","1.6146379593933085"
"28","28","28","28","1.5210285976986366","1.5210285976986366","1.5210285976986366","1.5987614252115931","1.5987614252115931","1.5987614252115931"
"29","29","29","29","1.5303442740751045","1.5303442740751045","1.5303442740751045","1.5972720504301257","1.5972720504301257","1.5972720504301257"
"30","30","30","30","1.4897695620453824","1.4897695620453824","1.4897695620453824","1.5975725174169835","1.5975725174169835","1.5975725174169835"
"31","31","31","31","1.4981418538865245","1.4981418538865245","1.4981418538865245","1.5944660010287313","1.5944660010287313","1.5944660010287313"
"32","32","32","32","1.47750075878642","1.47750075878642","1.47750075878642","1.586385688546724","1.586385688546724","1.586385688546724"
"33","33","33","33","1.4581608823389003","1.4581608823389003","1.4581608823389003","1.5844668293811934","1.5844668293811934","1.5844668293811934"
"34","34","34","34","1.498143552130338","1.498143552130338","1.498143552130338","1.5874693331110044","1.5874693331110044","1.5874693331110044"
"35","35","35","35","1.474273197788208","1.474273197788208","1.474273197788208","1.5945163542419356","1.5945163542419356","1.5945163542419356"
"36","36","36","36","1.4922727524808297","1.4922727524808297","1.4922727524808297","1.6135364835682908","1.6135364835682908","1.6135364835682908"
"37","37","37","37","1.3572199609210482","1.3572199609210482","1.3572199609210482","1.593805057724628","1.593805057724628","1.593805057724628"
"38","38","38","38","1.4262731401496396","1.4262731401496396","1.4262731401496396","1.609895996265508","1.609895996265508","1.609895996265508"
"39","39","39","39","1.3797252871700574","1.3797252871700574","1.3797252871700574","1.6147968261706451","1.6147968261706451","1.6147968261706451"
"40","40","40","40","1.385436811483222","1.385436811483222","1.385436811483222","1.6014542173317972","1.6014542173317972","1.6014542173317972"
"41","41","41","41","1.3543643006360446","1.3543643006360446","1.3543643006360446","1.5944926150654495","1.5944926150654495","1.5944926150654495"
"42","42","42","42","1.3098370141971005","1.3098370141971005","1.3098370141971005","1.615758572784452","1.615758572784452","1.615758572784452"
"43","43","43","43","1.363149504292758","1.363149504292758","1.363149504292758","1.6238266125300798","1.6238266125300798","1.6238266125300798"
"44","44","44","44","1.3253735480763522","1.3253735480763522","1.3253735480763522","1.6189007069975592","1.6189007069975592","1.6189007069975592"
"45","45","45","45","1.3423026443880715","1.3423026443880715","1.3423026443880715","1.6106159483326683","1.6106159483326683","1.6106159483326683"
"46","46","46","46","1.2693708858453912","1.2693708858453912","1.2693708858453912","1.6191710224902778","1.6191710224902778","1.6191710224902778"
"47","47","47","47","1.2912430266664527","1.2912430266664527","1.2912430266664527","1.6306935580630062","1.6306935580630062","1.6306935580630062"
"48","48","48","48","1.2830737816681126","1.2830737816681126","1.2830737816681126","1.6277920492010587","1.6277920492010587","1.6277920492010587"
"49","49","49","49","1.3160908923223271","1.3160908923223271","1.3160908923223271","1.6425487793079447","1.6425487793079447","1.6425487793079447"
