"epoch","comfy-cosmos-1 - _step","comfy-cosmos-1 - _step__MIN","comfy-cosmos-1 - _step__MAX","comfy-cosmos-1 - loss/train","comfy-cosmos-1 - loss/train__MIN","comfy-cosmos-1 - loss/train__MAX","comfy-cosmos-1 - loss/val","comfy-cosmos-1 - loss/val__MIN","comfy-cosmos-1 - loss/val__MAX"
"0","0","0","0","2.3614612370502264","2.3614612370502264","2.3614612370502264","2.3146966472851522","2.3146966472851522","2.3146966472851522"
"1","1","1","1","1.7923977365833035","1.7923977365833035","1.7923977365833035","2.145849353374286","2.145849353374286","2.145849353374286"
"2","2","2","2","1.539154539038882","1.539154539038882","1.539154539038882","2.020766101581937","2.020766101581937","2.020766101581937"
"3","3","3","3","1.412273940706286","1.412273940706286","1.412273940706286","1.9118547722360935","1.9118547722360935","1.9118547722360935"
"4","4","4","4","1.357608593427218","1.357608593427218","1.357608593427218","1.8540182442557476","1.8540182442557476","1.8540182442557476"
"5","5","5","5","1.3265168872764077","1.3265168872764077","1.3265168872764077","1.8046976949475648","1.8046976949475648","1.8046976949475648"
"6","6","6","6","1.2802539224573966","1.2802539224573966","1.2802539224573966","1.7905233883736926","1.7905233883736926","1.7905233883736926"
"7","7","7","7","1.2666768571415683","1.2666768571415683","1.2666768571415683","1.7791806577483062","1.7791806577483062","1.7791806577483062"
"8","8","8","8","1.2209766109536608","1.2209766109536608","1.2209766109536608","1.7276817190103517","1.7276817190103517","1.7276817190103517"
"9","9","9","9","1.2268596909150264","1.2268596909150264","1.2268596909150264","1.7462969232077754","1.7462969232077754","1.7462969232077754"
"10","10","10","10","1.2108083519106183","1.2108083519106183","1.2108083519106183","1.7031140427938642","1.7031140427938642","1.7031140427938642"
"11","11","11","11","1.1979329247704882","1.1979329247704882","1.1979329247704882","1.6973304799601319","1.6973304799601319","1.6973304799601319"
"12","12","12","12","1.166936107773956","1.166936107773956","1.166936107773956","1.6687107724783223","1.6687107724783223","1.6687107724783223"
"13","13","13","13","1.1639755058024215","1.1639755058024215","1.1639755058024215","1.686284144865868","1.686284144865868","1.686284144865868"
"14","14","14","14","1.1490680669686293","1.1490680669686293","1.1490680669686293","1.6633957062158535","1.6633957062158535","1.6633957062158535"
"15","15","15","15","1.1345424614042958","1.1345424614042958","1.1345424614042958","1.6717908887586415","1.6717908887586415","1.6717908887586415"
"16","16","16","16","1.1256595974624997","1.1256595974624997","1.1256595974624997","1.637399999351888","1.637399999351888","1.637399999351888"
"17","17","17","17","1.0955636998196623","1.0955636998196623","1.0955636998196623","1.6471918284316482","1.6471918284316482","1.6471918284316482"
"18","18","18","18","1.1173161272640233","1.1173161272640233","1.1173161272640233","1.654093401050963","1.654093401050963","1.654093401050963"
"19","19","19","19","1.0920515154877997","1.0920515154877997","1.0920515154877997","1.633602996292009","1.633602996292009","1.633602996292009"
"20","20","20","20","1.077737149508783","1.077737149508783","1.077737149508783","1.6266431101232781","1.6266431101232781","1.6266431101232781"
"21","21","21","21","1.0736733728673393","1.0736733728673393","1.0736733728673393","1.6037136904383957","1.6037136904383957","1.6037136904383957"
"22","22","22","22","1.044676828555131","1.044676828555131","1.044676828555131","1.6010798329529483","1.6010798329529483","1.6010798329529483"
"23","23","23","23","1.0728558388062563","1.0728558388062563","1.0728558388062563","1.6315498018747978","1.6315498018747978","1.6315498018747978"
"24","24","24","24","1.0591105050744898","1.0591105050744898","1.0591105050744898","1.6363003932622544","1.6363003932622544","1.6363003932622544"
"25","25","25","25","1.0513656081765594","1.0513656081765594","1.0513656081765594","1.6287210323139578","1.6287210323139578","1.6287210323139578"
"26","26","26","26","1.0536516910393483","1.0536516910393483","1.0536516910393483","1.615016559421165","1.615016559421165","1.615016559421165"
"27","27","27","27","1.0232565923881576","1.0232565923881576","1.0232565923881576","1.634936924136657","1.634936924136657","1.634936924136657"
"28","28","28","28","1.0151109871081707","1.0151109871081707","1.0151109871081707","1.6123577596294556","1.6123577596294556","1.6123577596294556"
"29","29","29","29","0.9940976019956466","0.9940976019956466","0.9940976019956466","1.6469503463220618","1.6469503463220618","1.6469503463220618"
"30","30","30","30","0.9962770460053442","0.9962770460053442","0.9962770460053442","1.613757306779381","1.613757306779381","1.613757306779381"
"31","31","31","31","1.0109586821001157","1.0109586821001157","1.0109586821001157","1.6265403824102929","1.6265403824102929","1.6265403824102929"
"32","32","32","32","1.0229918059038219","1.0229918059038219","1.0229918059038219","1.6183578655061936","1.6183578655061936","1.6183578655061936"
