"epoch","northern-donkey-1 - _step","northern-donkey-1 - _step__MIN","northern-donkey-1 - _step__MAX","northern-donkey-1 - loss/train","northern-donkey-1 - loss/train__MIN","northern-donkey-1 - loss/train__MAX","northern-donkey-1 - loss/val","northern-donkey-1 - loss/val__MIN","northern-donkey-1 - loss/val__MAX"
"0","0","0","0","2.4215046276146284","2.4215046276146284","2.4215046276146284","2.3216058495186376","2.3216058495186376","2.3216058495186376"
"1","1","1","1","1.9454764655622772","1.9454764655622772","1.9454764655622772","2.1045973053290403","2.1045973053290403","2.1045973053290403"
"2","2","2","2","1.6510868755436627","1.6510868755436627","1.6510868755436627","1.9324423615035238","1.9324423615035238","1.9324423615035238"
"3","3","3","3","1.5035791806850842","1.5035791806850842","1.5035791806850842","1.8258459898031894","1.8258459898031894","1.8258459898031894"
"4","4","4","4","1.4163621531592474","1.4163621531592474","1.4163621531592474","1.7544897001276143","1.7544897001276143","1.7544897001276143"
"5","5","5","5","1.4001499095836558","1.4001499095836558","1.4001499095836558","1.7115971809815065","1.7115971809815065","1.7115971809815065"
"6","6","6","6","1.3503920894815784","1.3503920894815784","1.3503920894815784","1.6727819454829191","1.6727819454829191","1.6727819454829191"
"7","7","7","7","1.3215040122149144","1.3215040122149144","1.3215040122149144","1.656787744099948","1.656787744099948","1.656787744099948"
"8","8","8","8","1.2739414302161065","1.2739414302161065","1.2739414302161065","1.642662262488268","1.642662262488268","1.642662262488268"
"9","9","9","9","1.24655745351086","1.24655745351086","1.24655745351086","1.6154870516361042","1.6154870516361042","1.6154870516361042"
"10","10","10","10","1.2254654409759285","1.2254654409759285","1.2254654409759285","1.5926312146127526","1.5926312146127526","1.5926312146127526"
"11","11","11","11","1.2259190031605909","1.2259190031605909","1.2259190031605909","1.5908936544916477","1.5908936544916477","1.5908936544916477"
"12","12","12","12","1.1974077261631526","1.1974077261631526","1.1974077261631526","1.5619154747923856","1.5619154747923856","1.5619154747923856"
"13","13","13","13","1.1949216147222539","1.1949216147222539","1.1949216147222539","1.5453740317170273","1.5453740317170273","1.5453740317170273"
"14","14","14","14","1.1635650929745969","1.1635650929745969","1.1635650929745969","1.5672108050262472","1.5672108050262472","1.5672108050262472"
"15","15","15","15","1.1343789041716994","1.1343789041716994","1.1343789041716994","1.5486381933031297","1.5486381933031297","1.5486381933031297"
"16","16","16","16","1.1146952596485105","1.1146952596485105","1.1146952596485105","1.549773233214703","1.549773233214703","1.549773233214703"
"17","17","17","17","1.1029454242497456","1.1029454242497456","1.1029454242497456","1.5404042017619108","1.5404042017619108","1.5404042017619108"
"18","18","18","18","1.0951823408374006","1.0951823408374006","1.0951823408374006","1.5715154351753224","1.5715154351753224","1.5715154351753224"
"19","19","19","19","1.0789760849332115","1.0789760849332115","1.0789760849332115","1.5532573417055613","1.5532573417055613","1.5532573417055613"
"20","20","20","20","1.0688223023975272","1.0688223023975272","1.0688223023975272","1.5520070277837388","1.5520070277837388","1.5520070277837388"
"21","21","21","21","1.055483702920441","1.055483702920441","1.055483702920441","1.555184589613972","1.555184589613972","1.555184589613972"
"22","22","22","22","1.0400277998519567","1.0400277998519567","1.0400277998519567","1.5747772875275825","1.5747772875275825","1.5747772875275825"
"23","23","23","23","0.9941027451949407","0.9941027451949407","0.9941027451949407","1.5912783289768355","1.5912783289768355","1.5912783289768355"
"24","24","24","24","1.0105894798768753","1.0105894798768753","1.0105894798768753","1.5805139284647867","1.5805139284647867","1.5805139284647867"
"25","25","25","25","1.0320765386555206","1.0320765386555206","1.0320765386555206","1.5643350502578195","1.5643350502578195","1.5643350502578195"
"26","26","26","26","0.9909089534517853","0.9909089534517853","0.9909089534517853","1.5893862042104192","1.5893862042104192","1.5893862042104192"
"27","27","27","27","0.9781545015371652","0.9781545015371652","0.9781545015371652","1.557434039970303","1.557434039970303","1.557434039970303"
"28","28","28","28","0.9626052509309183","0.9626052509309183","0.9626052509309183","1.584721867690049","1.584721867690049","1.584721867690049"
"29","29","29","29","0.966478574920345","0.966478574920345","0.966478574920345","1.5837308513245127","1.5837308513245127","1.5837308513245127"
"30","30","30","30","0.9696796625253647","0.9696796625253647","0.9696796625253647","1.5754485657444641","1.5754485657444641","1.5754485657444641"
"31","31","31","31","0.9591912918565565","0.9591912918565565","0.9591912918565565","1.5748168122433452","1.5748168122433452","1.5748168122433452"
"32","32","32","32","0.9828908247935576","0.9828908247935576","0.9828908247935576","1.5828329128145018","1.5828329128145018","1.5828329128145018"
"33","33","33","33","0.9541367483513546","0.9541367483513546","0.9541367483513546","1.571486256573948","1.571486256573948","1.571486256573948"
"34","34","34","34","0.982306354534381","0.982306354534381","0.982306354534381","1.5669389513438334","1.5669389513438334","1.5669389513438334"
"35","35","35","35","0.9833079949348346","0.9833079949348346","0.9833079949348346","1.5890520078034402","1.5890520078034402","1.5890520078034402"
"36","36","36","36","0.944720926723185","0.944720926723185","0.944720926723185","1.5788513281992205","1.5788513281992205","1.5788513281992205"
"37","37","37","37","0.9511242421319397","0.9511242421319397","0.9511242421319397","1.596450418933972","1.596450418933972","1.596450418933972"
