"epoch","elated-breeze-1 - _step","elated-breeze-1 - _step__MIN","elated-breeze-1 - _step__MAX","elated-breeze-1 - loss/train","elated-breeze-1 - loss/train__MIN","elated-breeze-1 - loss/train__MAX","elated-breeze-1 - loss/val","elated-breeze-1 - loss/val__MIN","elated-breeze-1 - loss/val__MAX"
"0","0","0","0","2.5411126843278637","2.5411126843278637","2.5411126843278637","2.487957378512206","2.487957378512206","2.487957378512206"
"1","1","1","1","2.4481667579528392","2.4481667579528392","2.4481667579528392","2.341350539331335","2.341350539331335","2.341350539331335"
"2","2","2","2","2.3266962616017905","2.3266962616017905","2.3266962616017905","2.20132335239377","2.20132335239377","2.20132335239377"
"3","3","3","3","2.2315513110100245","2.2315513110100245","2.2315513110100245","2.071388641682049","2.071388641682049","2.071388641682049"
"4","4","4","4","2.1281551226481303","2.1281551226481303","2.1281551226481303","1.9420414891236393","1.9420414891236393","1.9420414891236393"
"5","5","5","5","2.0339258409422136","2.0339258409422136","2.0339258409422136","1.8656098494492386","1.8656098494492386","1.8656098494492386"
"6","6","6","6","2.01083512555702","2.01083512555702","2.01083512555702","1.806465308988001","1.806465308988001","1.806465308988001"
"7","7","7","7","1.950056556576971","1.950056556576971","1.950056556576971","1.7646039350962979","1.7646039350962979","1.7646039350962979"
"8","8","8","8","1.905123745054041","1.905123745054041","1.905123745054041","1.7173327038442963","1.7173327038442963","1.7173327038442963"
"9","9","9","9","1.8789206746269467","1.8789206746269467","1.8789206746269467","1.689574314778107","1.689574314778107","1.689574314778107"
"10","10","10","10","1.8405798016863404","1.8405798016863404","1.8405798016863404","1.6683271345264183","1.6683271345264183","1.6683271345264183"
"11","11","11","11","1.7749347916704645","1.7749347916704645","1.7749347916704645","1.6280946725527299","1.6280946725527299","1.6280946725527299"
"12","12","12","12","1.7663766961913925","1.7663766961913925","1.7663766961913925","1.6111429040742766","1.6111429040742766","1.6111429040742766"
"13","13","13","13","1.7302467091635927","1.7302467091635927","1.7302467091635927","1.6138058228736536","1.6138058228736536","1.6138058228736536"
"14","14","14","14","1.7015464624209722","1.7015464624209722","1.7015464624209722","1.5832871355696352","1.5832871355696352","1.5832871355696352"
"15","15","15","15","1.6791234512641926","1.6791234512641926","1.6791234512641926","1.5782450564387536","1.5782450564387536","1.5782450564387536"
"16","16","16","16","1.6285960852177321","1.6285960852177321","1.6285960852177321","1.5648188808446433","1.5648188808446433","1.5648188808446433"
"17","17","17","17","1.6196676438442414","1.6196676438442414","1.6196676438442414","1.5610811082738054","1.5610811082738054","1.5610811082738054"
"18","18","18","18","1.5791091449157721","1.5791091449157721","1.5791091449157721","1.5633347227737027","1.5633347227737027","1.5633347227737027"
"19","19","19","19","1.5732265796196545","1.5732265796196545","1.5732265796196545","1.5528745253148688","1.5528745253148688","1.5528745253148688"
"20","20","20","20","1.5611304580325425","1.5611304580325425","1.5611304580325425","1.5483399085985357","1.5483399085985357","1.5483399085985357"
"21","21","21","21","1.5057534567063442","1.5057534567063442","1.5057534567063442","1.5382695316115265","1.5382695316115265","1.5382695316115265"
"22","22","22","22","1.539408126695791","1.539408126695791","1.539408126695791","1.5492725627645267","1.5492725627645267","1.5492725627645267"
"23","23","23","23","1.5019655236473093","1.5019655236473093","1.5019655236473093","1.5584699154888524","1.5584699154888524","1.5584699154888524"
"24","24","24","24","1.4152287553215335","1.4152287553215335","1.4152287553215335","1.5443369420867314","1.5443369420867314","1.5443369420867314"
"25","25","25","25","1.4505486982913511","1.4505486982913511","1.4505486982913511","1.5659422663596851","1.5659422663596851","1.5659422663596851"
"26","26","26","26","1.461820993007097","1.461820993007097","1.461820993007097","1.564994243420197","1.564994243420197","1.564994243420197"
"27","27","27","27","1.3593825333441727","1.3593825333441727","1.3593825333441727","1.5674095033006918","1.5674095033006918","1.5674095033006918"
"28","28","28","28","1.368664074120331","1.368664074120331","1.368664074120331","1.5567664712983196","1.5567664712983196","1.5567664712983196"
"29","29","29","29","1.3463916065897228","1.3463916065897228","1.3463916065897228","1.5574510082678001","1.5574510082678001","1.5574510082678001"
"30","30","30","30","1.4069423366292406","1.4069423366292406","1.4069423366292406","1.557041887861416","1.557041887861416","1.557041887861416"
"31","31","31","31","1.3128670053356486","1.3128670053356486","1.3128670053356486","1.5582050165236134","1.5582050165236134","1.5582050165236134"
