"epoch","graceful-star-1 - _step","graceful-star-1 - _step__MIN","graceful-star-1 - _step__MAX","graceful-star-1 - loss/train","graceful-star-1 - loss/train__MIN","graceful-star-1 - loss/train__MAX","graceful-star-1 - loss/val","graceful-star-1 - loss/val__MIN","graceful-star-1 - loss/val__MAX"
"0","0","0","0","2.496243218053082","2.496243218053082","2.496243218053082","2.3970483392682946","2.3970483392682946","2.3970483392682946"
"1","1","1","1","2.2588725560456986","2.2588725560456986","2.2588725560456986","2.1790613762962274","2.1790613762962274","2.1790613762962274"
"2","2","2","2","1.9872834902396421","1.9872834902396421","1.9872834902396421","2.0245943704765","2.0245943704765","2.0245943704765"
"3","3","3","3","1.8088608968245972","1.8088608968245972","1.8088608968245972","1.8826605586179772","1.8826605586179772","1.8826605586179772"
"4","4","4","4","1.7027101924827508","1.7027101924827508","1.7027101924827508","1.7969761977048582","1.7969761977048582","1.7969761977048582"
"5","5","5","5","1.633551879366799","1.633551879366799","1.633551879366799","1.7265548353533435","1.7265548353533435","1.7265548353533435"
"6","6","6","6","1.563369665831004","1.563369665831004","1.563369665831004","1.693963404681374","1.693963404681374","1.693963404681374"
"7","7","7","7","1.5233057241310577","1.5233057241310577","1.5233057241310577","1.6552525771372553","1.6552525771372553","1.6552525771372553"
"8","8","8","8","1.522490974725362","1.522490974725362","1.522490974725362","1.6414653186367603","1.6414653186367603","1.6414653186367603"
"9","9","9","9","1.4281796725121052","1.4281796725121052","1.4281796725121052","1.6113028753083842","1.6113028753083842","1.6113028753083842"
"10","10","10","10","1.455372438003406","1.455372438003406","1.455372438003406","1.5926782721366162","1.5926782721366162","1.5926782721366162"
"11","11","11","11","1.395247717363377","1.395247717363377","1.395247717363377","1.5688887446885393","1.5688887446885393","1.5688887446885393"
"12","12","12","12","1.3720237683724832","1.3720237683724832","1.3720237683724832","1.5733586791362262","1.5733586791362262","1.5733586791362262"
"13","13","13","13","1.3879877184485052","1.3879877184485052","1.3879877184485052","1.5582898149617748","1.5582898149617748","1.5582898149617748"
"14","14","14","14","1.341156794180943","1.341156794180943","1.341156794180943","1.5625903315392577","1.5625903315392577","1.5625903315392577"
"15","15","15","15","1.3400129836362165","1.3400129836362165","1.3400129836362165","1.5537505974038193","1.5537505974038193","1.5537505974038193"
"16","16","16","16","1.316681670694637","1.316681670694637","1.316681670694637","1.5602041284151749","1.5602041284151749","1.5602041284151749"
"17","17","17","17","1.3311093701972618","1.3311093701972618","1.3311093701972618","1.5350574492749285","1.5350574492749285","1.5350574492749285"
"18","18","18","18","1.2830829313136032","1.2830829313136032","1.2830829313136032","1.5437215507332491","1.5437215507332491","1.5437215507332491"
"19","19","19","19","1.2391470956813384","1.2391470956813384","1.2391470956813384","1.5337332341046115","1.5337332341046115","1.5337332341046115"
"20","20","20","20","1.2258951219150576","1.2258951219150576","1.2258951219150576","1.5513713455925005","1.5513713455925005","1.5513713455925005"
"21","21","21","21","1.2183576900028068","1.2183576900028068","1.2183576900028068","1.5506449540822203","1.5506449540822203","1.5506449540822203"
"22","22","22","22","1.1705527121653372","1.1705527121653372","1.1705527121653372","1.541702518041427","1.541702518041427","1.541702518041427"
"23","23","23","23","1.1533013947008022","1.1533013947008022","1.1533013947008022","1.5467366467198707","1.5467366467198707","1.5467366467198707"
"24","24","24","24","1.1643456147836373","1.1643456147836373","1.1643456147836373","1.5488277241580775","1.5488277241580775","1.5488277241580775"
"25","25","25","25","1.1223214549473806","1.1223214549473806","1.1223214549473806","1.552960352379295","1.552960352379295","1.552960352379295"
"26","26","26","26","1.1386046571251316","1.1386046571251316","1.1386046571251316","1.5728509338810277","1.5728509338810277","1.5728509338810277"
"27","27","27","27","1.1418524409878876","1.1418524409878876","1.1418524409878876","1.563452746284991","1.563452746284991","1.563452746284991"
"28","28","28","28","1.1095938942554853","1.1095938942554853","1.1095938942554853","1.5804076227709094","1.5804076227709094","1.5804076227709094"
"29","29","29","29","1.1062943894088226","1.1062943894088226","1.1062943894088226","1.5797179902769465","1.5797179902769465","1.5797179902769465"
"30","30","30","30","1.121653659951194","1.121653659951194","1.121653659951194","1.5755999883931116","1.5755999883931116","1.5755999883931116"
"31","31","31","31","1.0466328391951154","1.0466328391951154","1.0466328391951154","1.598388868671911","1.598388868671911","1.598388868671911"
"32","32","32","32","1.0464474100218255","1.0464474100218255","1.0464474100218255","1.6052110761280491","1.6052110761280491","1.6052110761280491"
"33","33","33","33","0.9968453508937222","0.9968453508937222","0.9968453508937222","1.6246479172577017","1.6246479172577017","1.6246479172577017"
"34","34","34","34","1.0221085032075128","1.0221085032075128","1.0221085032075128","1.6132597814008203","1.6132597814008203","1.6132597814008203"
"35","35","35","35","0.986126252976486","0.986126252976486","0.986126252976486","1.6370256021241338","1.6370256021241338","1.6370256021241338"
"36","36","36","36","0.9967479305417137","0.9967479305417137","0.9967479305417137","1.6233040496864828","1.6233040496864828","1.6233040496864828"
"37","37","37","37","1.008255377787039","1.008255377787039","1.008255377787039","1.6121677740111102","1.6121677740111102","1.6121677740111102"
"38","38","38","38","0.9781151240294402","0.9781151240294402","0.9781151240294402","1.6165887609378142","1.6165887609378142","1.6165887609378142"
