"epoch","tough-gorge-1 - _step","tough-gorge-1 - _step__MIN","tough-gorge-1 - _step__MAX","tough-gorge-1 - loss/train","tough-gorge-1 - loss/train__MIN","tough-gorge-1 - loss/train__MAX","tough-gorge-1 - loss/val","tough-gorge-1 - loss/val__MIN","tough-gorge-1 - loss/val__MAX"
"0","0","0","0","2.139421930597296","2.139421930597296","2.139421930597296","2.2249726053208922","2.2249726053208922","2.2249726053208922"
"1","1","1","1","1.9357362098191566","1.9357362098191566","1.9357362098191566","2.196082411137444","2.196082411137444","2.196082411137444"
"2","2","2","2","1.8939637977494794","1.8939637977494794","1.8939637977494794","2.163346321008437","2.163346321008437","2.163346321008437"
"3","3","3","3","1.8846726293072575","1.8846726293072575","1.8846726293072575","2.1681322757135826","2.1681322757135826","2.1681322757135826"
"4","4","4","4","1.8754101180071974","1.8754101180071974","1.8754101180071974","2.145652512480509","2.145652512480509","2.145652512480509"
"5","5","5","5","1.8639763981895596","1.8639763981895596","1.8639763981895596","2.145589991298923","2.145589991298923","2.145589991298923"
"6","6","6","6","1.886833315959674","1.886833315959674","1.886833315959674","2.1408276483794064","2.1408276483794064","2.1408276483794064"
"7","7","7","7","1.8618724671542493","1.8618724671542493","1.8618724671542493","2.1363338043150515","2.1363338043150515","2.1363338043150515"
"8","8","8","8","1.8737213232578376","1.8737213232578376","1.8737213232578376","2.187548779826294","2.187548779826294","2.187548779826294"
"9","9","9","9","1.8638833311419754","1.8638833311419754","1.8638833311419754","2.141000729121134","2.141000729121134","2.141000729121134"
"10","10","10","10","1.8683247623996555","1.8683247623996555","1.8683247623996555","2.124330404111176","2.124330404111176","2.124330404111176"
"11","11","11","11","1.8611740213146548","1.8611740213146548","1.8611740213146548","2.14579182108225","2.14579182108225","2.14579182108225"
"12","12","12","12","1.8567793860780253","1.8567793860780253","1.8567793860780253","2.127670907359253","2.127670907359253","2.127670907359253"
"13","13","13","13","1.8506990966633854","1.8506990966633854","1.8506990966633854","2.1301623844759963","2.1301623844759963","2.1301623844759963"
"14","14","14","14","1.8426762280493914","1.8426762280493914","1.8426762280493914","2.118723371346279","2.118723371346279","2.118723371346279"
"15","15","15","15","1.8698470397093578","1.8698470397093578","1.8698470397093578","2.1216354900546364","2.1216354900546364","2.1216354900546364"
"16","16","16","16","1.848025848243715","1.848025848243715","1.848025848243715","2.1327268862054405","2.1327268862054405","2.1327268862054405"
"17","17","17","17","1.8545162714499748","1.8545162714499748","1.8545162714499748","2.1124419291850773","2.1124419291850773","2.1124419291850773"
"18","18","18","18","1.8433426320015847","1.8433426320015847","1.8433426320015847","2.130742050436223","2.130742050436223","2.130742050436223"
"19","19","19","19","1.8476301925235765","1.8476301925235765","1.8476301925235765","2.1184854430572497","2.1184854430572497","2.1184854430572497"
"20","20","20","20","1.8411425634795233","1.8411425634795233","1.8411425634795233","2.1189560758963206","2.1189560758963206","2.1189560758963206"
"21","21","21","21","1.8521063326687812","1.8521063326687812","1.8521063326687812","2.116872718289172","2.116872718289172","2.116872718289172"
"22","22","22","22","1.8589567659247634","1.8589567659247634","1.8589567659247634","2.109727691143463","2.109727691143463","2.109727691143463"
"23","23","23","23","1.8551764111894469","1.8551764111894469","1.8551764111894469","2.1144971789329734","2.1144971789329734","2.1144971789329734"
"24","24","24","24","1.8561885119641066","1.8561885119641066","1.8561885119641066","2.1135757260474124","2.1135757260474124","2.1135757260474124"
"25","25","25","25","1.860503251053054","1.860503251053054","1.860503251053054","2.1092467129038317","2.1092467129038317","2.1092467129038317"
"26","26","26","26","1.8559247146938216","1.8559247146938216","1.8559247146938216","2.11862695431281","2.11862695431281","2.11862695431281"
"27","27","27","27","1.8391152699237665","1.8391152699237665","1.8391152699237665","2.1112301595086933","2.1112301595086933","2.1112301595086933"
"28","28","28","28","1.8489578074355906","1.8489578074355906","1.8489578074355906","2.1174098738653218","2.1174098738653218","2.1174098738653218"
