"epoch","dashing-vortex-1 - _step","dashing-vortex-1 - _step__MIN","dashing-vortex-1 - _step__MAX","dashing-vortex-1 - loss/train","dashing-vortex-1 - loss/train__MIN","dashing-vortex-1 - loss/train__MAX","dashing-vortex-1 - loss/val","dashing-vortex-1 - loss/val__MIN","dashing-vortex-1 - loss/val__MAX"
"25","25","25","25","1.1725205001557883","1.1725205001557883","1.1725205001557883","1.6224950881994906","1.6224950881994906","1.6224950881994906"
"26","26","26","26","1.1433517175063328","1.1433517175063328","1.1433517175063328","1.631948181255135","1.631948181255135","1.631948181255135"
"27","27","27","27","1.1317351346865183","1.1317351346865183","1.1317351346865183","1.6341699031792936","1.6341699031792936","1.6341699031792936"
"28","28","28","28","1.1295689595822347","1.1295689595822347","1.1295689595822347","1.6125536186801623","1.6125536186801623","1.6125536186801623"
"29","29","29","29","1.1105700936430898","1.1105700936430898","1.1105700936430898","1.6158331609551997","1.6158331609551997","1.6158331609551997"
"30","30","30","30","1.1155074254335777","1.1155074254335777","1.1155074254335777","1.6257875820065029","1.6257875820065029","1.6257875820065029"
"31","31","31","31","1.0998183633967784","1.0998183633967784","1.0998183633967784","1.6158919992780751","1.6158919992780751","1.6158919992780751"
"32","32","32","32","1.1375885141945017","1.1375885141945017","1.1375885141945017","1.63273412925425","1.63273412925425","1.63273412925425"
"33","33","33","33","1.1138040194970737","1.1138040194970737","1.1138040194970737","1.6005581168741854","1.6005581168741854","1.6005581168741854"
"34","34","34","34","1.1349429628484986","1.1349429628484986","1.1349429628484986","1.6075964468736794","1.6075964468736794","1.6075964468736794"
"35","35","35","35","1.1341364182950058","1.1341364182950058","1.1341364182950058","1.6163085533253667","1.6163085533253667","1.6163085533253667"
"36","36","36","36","1.1274368045070646","1.1274368045070646","1.1274368045070646","1.6136101169665251","1.6136101169665251","1.6136101169665251"
"37","37","37","37","1.0963854957436492","1.0963854957436492","1.0963854957436492","1.6177868300569271","1.6177868300569271","1.6177868300569271"
"38","38","38","38","1.115352061142352","1.115352061142352","1.115352061142352","1.6090211615700811","1.6090211615700811","1.6090211615700811"
"39","39","39","39","1.0952458395972267","1.0952458395972267","1.0952458395972267","1.6262996882570881","1.6262996882570881","1.6262996882570881"
"40","40","40","40","1.0979811140119025","1.0979811140119025","1.0979811140119025","1.6128738241665708","1.6128738241665708","1.6128738241665708"
"41","41","41","41","1.0835107672046531","1.0835107672046531","1.0835107672046531","1.5981219719764221","1.5981219719764221","1.5981219719764221"
"42","42","42","42","1.104635076479869","1.104635076479869","1.104635076479869","1.627723296684694","1.627723296684694","1.627723296684694"
"43","43","43","43","1.1257188077280278","1.1257188077280278","1.1257188077280278","1.6511171010714532","1.6511171010714532","1.6511171010714532"
"44","44","44","44","1.1196433824269099","1.1196433824269099","1.1196433824269099","1.6145465032453639","1.6145465032453639","1.6145465032453639"
"45","45","45","45","1.148118088938783","1.148118088938783","1.148118088938783","1.6278009414672852","1.6278009414672852","1.6278009414672852"
"46","46","46","46","1.0996911179030786","1.0996911179030786","1.0996911179030786","1.6106416220930742","1.6106416220930742","1.6106416220930742"
"47","47","47","47","1.0883001417066187","1.0883001417066187","1.0883001417066187","1.5981238122252153","1.5981238122252153","1.5981238122252153"
"48","48","48","48","1.09448112414874","1.09448112414874","1.09448112414874","1.6170706546894145","1.6170706546894145","1.6170706546894145"
"49","49","49","49","1.1251645662350036","1.1251645662350036","1.1251645662350036","1.617661946712689","1.617661946712689","1.617661946712689"
