"epoch","ancient-sweep-1 - _step","ancient-sweep-1 - _step__MIN","ancient-sweep-1 - _step__MAX","ancient-sweep-1 - loss/train","ancient-sweep-1 - loss/train__MIN","ancient-sweep-1 - loss/train__MAX","ancient-sweep-1 - loss/val","ancient-sweep-1 - loss/val__MIN","ancient-sweep-1 - loss/val__MAX"
"17","17","17","17","1.6274468535502282","1.6274468535502282","1.6274468535502282","1.6385082048185955","1.6385082048185955","1.6385082048185955"
"18","18","18","18","1.5937847421014097","1.5937847421014097","1.5937847421014097","1.6289870898221726","1.6289870898221726","1.6289870898221726"
"19","19","19","19","1.5750909110850837","1.5750909110850837","1.5750909110850837","1.6342683131658553","1.6342683131658553","1.6342683131658553"
"20","20","20","20","1.558328362787969","1.558328362787969","1.558328362787969","1.6133861241940253","1.6133861241940253","1.6133861241940253"
"21","21","21","21","1.583843884383433","1.583843884383433","1.583843884383433","1.6287224416851394","1.6287224416851394","1.6287224416851394"
"22","22","22","22","1.5146585683498157","1.5146585683498157","1.5146585683498157","1.6020766381896734","1.6020766381896734","1.6020766381896734"
"23","23","23","23","1.5286253847666746","1.5286253847666746","1.5286253847666746","1.6118095562459136","1.6118095562459136","1.6118095562459136"
"24","24","24","24","1.4968979289898505","1.4968979289898505","1.4968979289898505","1.5951213631856171","1.5951213631856171","1.5951213631856171"
"25","25","25","25","1.472906852438605","1.472906852438605","1.472906852438605","1.6023537682696236","1.6023537682696236","1.6023537682696236"
"26","26","26","26","1.4393799948621784","1.4393799948621784","1.4393799948621784","1.6003668272017555","1.6003668272017555","1.6003668272017555"
"27","27","27","27","1.4586616973199789","1.4586616973199789","1.4586616973199789","1.6031671563143666","1.6031671563143666","1.6031671563143666"
"28","28","28","28","1.4225508833425284","1.4225508833425284","1.4225508833425284","1.5984961696617728","1.5984961696617728","1.5984961696617728"
"29","29","29","29","1.4072248064554655","1.4072248064554655","1.4072248064554655","1.5965411281431945","1.5965411281431945","1.5965411281431945"
"30","30","30","30","1.4400948430659504","1.4400948430659504","1.4400948430659504","1.6005589664943314","1.6005589664943314","1.6005589664943314"
"31","31","31","31","1.4421819150447845","1.4421819150447845","1.4421819150447845","1.6009840486457083","1.6009840486457083","1.6009840486457083"
"32","32","32","32","1.4052549528299705","1.4052549528299705","1.4052549528299705","1.597362138499098","1.597362138499098","1.597362138499098"
"33","33","33","33","1.3446723051677794","1.3446723051677794","1.3446723051677794","1.6028070393271954","1.6028070393271954","1.6028070393271954"
"34","34","34","34","1.3730341218985045","1.3730341218985045","1.3730341218985045","1.5902719319772742","1.5902719319772742","1.5902719319772742"
"35","35","35","35","1.3783284734339403","1.3783284734339403","1.3783284734339403","1.6073926815729656","1.6073926815729656","1.6073926815729656"
"36","36","36","36","1.343682882172116","1.343682882172116","1.343682882172116","1.5985131346646788","1.5985131346646788","1.5985131346646788"
"37","37","37","37","1.3425489020418133","1.3425489020418133","1.3425489020418133","1.5994203024775902","1.5994203024775902","1.5994203024775902"
"38","38","38","38","1.3482041243441711","1.3482041243441711","1.3482041243441711","1.6018071359667785","1.6018071359667785","1.6018071359667785"
"39","39","39","39","1.3441786143554033","1.3441786143554033","1.3441786143554033","1.5912910764637986","1.5912910764637986","1.5912910764637986"
"40","40","40","40","1.3640661451238147","1.3640661451238147","1.3640661451238147","1.594808014567027","1.594808014567027","1.594808014567027"
"41","41","41","41","1.3072186142382538","1.3072186142382538","1.3072186142382538","1.605821544538715","1.605821544538715","1.605821544538715"
"42","42","42","42","1.3475711156101622","1.3475711156101622","1.3475711156101622","1.5958917213990798","1.5958917213990798","1.5958917213990798"
"43","43","43","43","1.3967604289746143","1.3967604289746143","1.3967604289746143","1.6201379019123572","1.6201379019123572","1.6201379019123572"
"44","44","44","44","1.3563824802108064","1.3563824802108064","1.3563824802108064","1.6010044294258023","1.6010044294258023","1.6010044294258023"
