"epoch","effortless-forest-1 - _step","effortless-forest-1 - _step__MIN","effortless-forest-1 - _step__MAX","effortless-forest-1 - loss/train","effortless-forest-1 - loss/train__MIN","effortless-forest-1 - loss/train__MAX","effortless-forest-1 - loss/val","effortless-forest-1 - loss/val__MIN","effortless-forest-1 - loss/val__MAX"
"0","0","0","0","2.3759799667167214","2.3759799667167214","2.3759799667167214","2.2795750893848057","2.2795750893848057","2.2795750893848057"
"1","1","1","1","1.8179072743141884","1.8179072743141884","1.8179072743141884","2.0886587937929177","2.0886587937929177","2.0886587937929177"
"2","2","2","2","1.4957049479900328","1.4957049479900328","1.4957049479900328","1.88156785821102","1.88156785821102","1.88156785821102"
"3","3","3","3","1.3765525797915137","1.3765525797915137","1.3765525797915137","1.7761420556226122","1.7761420556226122","1.7761420556226122"
"4","4","4","4","1.3383892269194266","1.3383892269194266","1.3383892269194266","1.7233367808564695","1.7233367808564695","1.7233367808564695"
"5","5","5","5","1.280801260680698","1.280801260680698","1.280801260680698","1.6953587613859138","1.6953587613859138","1.6953587613859138"
"6","6","6","6","1.2833713963987452","1.2833713963987452","1.2833713963987452","1.6574977905944654","1.6574977905944654","1.6574977905944654"
"7","7","7","7","1.2079530349132326","1.2079530349132326","1.2079530349132326","1.632712167180227","1.632712167180227","1.632712167180227"
"8","8","8","8","1.1957214717271454","1.1957214717271454","1.1957214717271454","1.6050872241006584","1.6050872241006584","1.6050872241006584"
"9","9","9","9","1.184522191748747","1.184522191748747","1.184522191748747","1.582017187751531","1.582017187751531","1.582017187751531"
"10","10","10","10","1.156439300128","1.156439300128","1.156439300128","1.5703454654044349","1.5703454654044349","1.5703454654044349"
"11","11","11","11","1.126309860067298","1.126309860067298","1.126309860067298","1.583118545904735","1.583118545904735","1.583118545904735"
"12","12","12","12","1.111457993867425","1.111457993867425","1.111457993867425","1.5643911812504223","1.5643911812504223","1.5643911812504223"
"13","13","13","13","1.1129984752688917","1.1129984752688917","1.1129984752688917","1.5551375128167502","1.5551375128167502","1.5551375128167502"
"14","14","14","14","1.0828650980450185","1.0828650980450185","1.0828650980450185","1.557185278241945","1.557185278241945","1.557185278241945"
"15","15","15","15","1.067383711056701","1.067383711056701","1.067383711056701","1.553544682492204","1.553544682492204","1.553544682492204"
"16","16","16","16","1.0446291138127537","1.0446291138127537","1.0446291138127537","1.5431388214072672","1.5431388214072672","1.5431388214072672"
"17","17","17","17","1.0676790689973967","1.0676790689973967","1.0676790689973967","1.5469427017065196","1.5469427017065196","1.5469427017065196"
"18","18","18","18","1.0161638228668255","1.0161638228668255","1.0161638228668255","1.5324943063996015","1.5324943063996015","1.5324943063996015"
"19","19","19","19","0.9905600529181292","0.9905600529181292","0.9905600529181292","1.539715262944113","1.539715262944113","1.539715262944113"
"20","20","20","20","0.973474075322378","0.973474075322378","0.973474075322378","1.5377455668644882","1.5377455668644882","1.5377455668644882"
"21","21","21","21","0.9620643164069179","0.9620643164069179","0.9620643164069179","1.5458736165445117","1.5458736165445117","1.5458736165445117"
"22","22","22","22","0.9689730925519351","0.9689730925519351","0.9689730925519351","1.546918152060612","1.546918152060612","1.546918152060612"
"23","23","23","23","0.9362933135098765","0.9362933135098765","0.9362933135098765","1.57422198649652","1.57422198649652","1.57422198649652"
"24","24","24","24","0.9340608336296955","0.9340608336296955","0.9340608336296955","1.5744849158453535","1.5744849158453535","1.5744849158453535"
"25","25","25","25","0.9319545441649834","0.9319545441649834","0.9319545441649834","1.570485828714621","1.570485828714621","1.570485828714621"
"26","26","26","26","0.9149869120750288","0.9149869120750288","0.9149869120750288","1.5763103724734018","1.5763103724734018","1.5763103724734018"
"27","27","27","27","0.8728692258691058","0.8728692258691058","0.8728692258691058","1.596210913524162","1.596210913524162","1.596210913524162"
"28","28","28","28","0.8820751413199475","0.8820751413199475","0.8820751413199475","1.599395022036457","1.599395022036457","1.599395022036457"
"29","29","29","29","0.8709201753151739","0.8709201753151739","0.8709201753151739","1.5822513892539687","1.5822513892539687","1.5822513892539687"
"30","30","30","30","0.8862851842284459","0.8862851842284459","0.8862851842284459","1.5737934981222692","1.5737934981222692","1.5737934981222692"
