"epoch","visionary-plasma-1 - _step","visionary-plasma-1 - _step__MIN","visionary-plasma-1 - _step__MAX","visionary-plasma-1 - loss/train","visionary-plasma-1 - loss/train__MIN","visionary-plasma-1 - loss/train__MAX","visionary-plasma-1 - loss/val","visionary-plasma-1 - loss/val__MIN","visionary-plasma-1 - loss/val__MAX"
"35","35","35","35","1.0023814536002893","1.0023814536002893","1.0023814536002893","1.6128978332798913","1.6128978332798913","1.6128978332798913"
"36","36","36","36","0.9869363701929972","0.9869363701929972","0.9869363701929972","1.6231206090479937","1.6231206090479937","1.6231206090479937"
"37","37","37","37","0.9960943114908126","0.9960943114908126","0.9960943114908126","1.6335167309371408","1.6335167309371408","1.6335167309371408"
"38","38","38","38","0.9998351101685785","0.9998351101685785","0.9998351101685785","1.6329461294404377","1.6329461294404377","1.6329461294404377"
"39","39","39","39","1.0232101583598368","1.0232101583598368","1.0232101583598368","1.626185625832732","1.626185625832732","1.626185625832732"
"40","40","40","40","1.0240378072891831","1.0240378072891831","1.0240378072891831","1.6265785678198457","1.6265785678198457","1.6265785678198457"
"41","41","41","41","1.0238849846283684","1.0238849846283684","1.0238849846283684","1.6243950639216924","1.6243950639216924","1.6243950639216924"
"42","42","42","42","0.9749150636217684","0.9749150636217684","0.9749150636217684","1.6277553853984255","1.6277553853984255","1.6277553853984255"
"43","43","43","43","0.9905025561364926","0.9905025561364926","0.9905025561364926","1.6334025164674033","1.6334025164674033","1.6334025164674033"
"44","44","44","44","1.0077093999293032","1.0077093999293032","1.0077093999293032","1.6239890720041488","1.6239890720041488","1.6239890720041488"
"45","45","45","45","1.0053569114439613","1.0053569114439613","1.0053569114439613","1.6258130276713818","1.6258130276713818","1.6258130276713818"
"46","46","46","46","0.9815423440073775","0.9815423440073775","0.9815423440073775","1.6231027167824104","1.6231027167824104","1.6231027167824104"
"47","47","47","47","0.9985054547664038","0.9985054547664038","0.9985054547664038","1.6312190443620544","1.6312190443620544","1.6312190443620544"
"48","48","48","48","1.0116951087912678","1.0116951087912678","1.0116951087912678","1.628362060636488","1.628362060636488","1.628362060636488"
"49","49","49","49","0.9903326857637255","0.9903326857637255","0.9903326857637255","1.6515530149599529","1.6515530149599529","1.6515530149599529"
