"epoch","honest-sweep-1 - _step","honest-sweep-1 - _step__MIN","honest-sweep-1 - _step__MAX","honest-sweep-1 - loss/train","honest-sweep-1 - loss/train__MIN","honest-sweep-1 - loss/train__MAX","honest-sweep-1 - loss/val","honest-sweep-1 - loss/val__MIN","honest-sweep-1 - loss/val__MAX"
"0","0","0","0","1.7846933125568094","1.7846933125568094","1.7846933125568094","1.9598906582700992","1.9598906582700992","1.9598906582700992"
"1","1","1","1","1.6494896155651484","1.6494896155651484","1.6494896155651484","1.9103685391767407","1.9103685391767407","1.9103685391767407"
"2","2","2","2","1.5834263070133832","1.5834263070133832","1.5834263070133832","1.8898917873682157","1.8898917873682157","1.8898917873682157"
"3","3","3","3","1.5469280437631285","1.5469280437631285","1.5469280437631285","1.906633466468435","1.906633466468435","1.906633466468435"
"4","4","4","4","1.534413427766422","1.534413427766422","1.534413427766422","1.9410307531475417","1.9410307531475417","1.9410307531475417"
"5","5","5","5","1.4826078700421832","1.4826078700421832","1.4826078700421832","1.978575721252684","1.978575721252684","1.978575721252684"
"6","6","6","6","1.462959731189551","1.462959731189551","1.462959731189551","2.0028113805989634","2.0028113805989634","2.0028113805989634"
"7","7","7","7","1.434374162496281","1.434374162496281","1.434374162496281","2.033594537967364","2.033594537967364","2.033594537967364"
"8","8","8","8","1.3867647641368919","1.3867647641368919","1.3867647641368919","2.112164610819243","2.112164610819243","2.112164610819243"
"9","9","9","9","1.3995424157431866","1.3995424157431866","1.3995424157431866","2.126998523587403","2.126998523587403","2.126998523587403"
"10","10","10","10","1.368064703564998","1.368064703564998","1.368064703564998","2.114821169904606","2.114821169904606","2.114821169904606"
"11","11","11","11","1.3691129132659943","1.3691129132659943","1.3691129132659943","2.175139557650868","2.175139557650868","2.175139557650868"
"12","12","12","12","1.3642711887078522","1.3642711887078522","1.3642711887078522","2.1086369722134393","2.1086369722134393","2.1086369722134393"
"13","13","13","13","1.3520330202534199","1.3520330202534199","1.3520330202534199","2.1793176720956127","2.1793176720956127","2.1793176720956127"
"14","14","14","14","1.3286330813106428","1.3286330813106428","1.3286330813106428","2.1708187907591","2.1708187907591","2.1708187907591"
"15","15","15","15","1.30750609539955","1.30750609539955","1.30750609539955","2.183191516991312","2.183191516991312","2.183191516991312"
"16","16","16","16","1.3192368163224595","1.3192368163224595","1.3192368163224595","2.1531074529197127","2.1531074529197127","2.1531074529197127"
"17","17","17","17","1.346125247702041","1.346125247702041","1.346125247702041","2.106561634519692","2.106561634519692","2.106561634519692"
