"epoch","crisp-sweep-1 - _step","crisp-sweep-1 - _step__MIN","crisp-sweep-1 - _step__MAX","crisp-sweep-1 - loss/train","crisp-sweep-1 - loss/train__MIN","crisp-sweep-1 - loss/train__MAX","crisp-sweep-1 - loss/val","crisp-sweep-1 - loss/val__MIN","crisp-sweep-1 - loss/val__MAX"
"0","0","0","0","1.7990008627553709","1.7990008627553709","1.7990008627553709","1.8386180459052832","1.8386180459052832","1.8386180459052832"
"1","1","1","1","1.603470286448508","1.603470286448508","1.603470286448508","1.8007969197893077","1.8007969197893077","1.8007969197893077"
"2","2","2","2","1.5339077424987309","1.5339077424987309","1.5339077424987309","1.758483229777276","1.758483229777276","1.758483229777276"
"3","3","3","3","1.5142506943318899","1.5142506943318899","1.5142506943318899","1.7324799405216127","1.7324799405216127","1.7324799405216127"
"4","4","4","4","1.4991939568921024","1.4991939568921024","1.4991939568921024","1.720602557413153","1.720602557413153","1.720602557413153"
"5","5","5","5","1.5212381193054592","1.5212381193054592","1.5212381193054592","1.719408587012517","1.719408587012517","1.719408587012517"
"6","6","6","6","1.5029369255936786","1.5029369255936786","1.5029369255936786","1.7120453517923482","1.7120453517923482","1.7120453517923482"
"7","7","7","7","1.4819339478358298","1.4819339478358298","1.4819339478358298","1.7160871453627855","1.7160871453627855","1.7160871453627855"
"8","8","8","8","1.5135848452211331","1.5135848452211331","1.5135848452211331","1.7106408910342814","1.7106408910342814","1.7106408910342814"
"9","9","9","9","1.501438225397933","1.501438225397933","1.501438225397933","1.705986022839399","1.705986022839399","1.705986022839399"
"10","10","10","10","1.4774030126018782","1.4774030126018782","1.4774030126018782","1.6922803544493","1.6922803544493","1.6922803544493"
"11","11","11","11","1.4753315436403205","1.4753315436403205","1.4753315436403205","1.6873957098271648","1.6873957098271648","1.6873957098271648"
"12","12","12","12","1.5066438994182538","1.5066438994182538","1.5066438994182538","1.6945224791174933","1.6945224791174933","1.6945224791174933"
"13","13","13","13","1.4762383390393892","1.4762383390393892","1.4762383390393892","1.6868170779292784","1.6868170779292784","1.6868170779292784"
"14","14","14","14","1.5017842291683676","1.5017842291683676","1.5017842291683676","1.68492435881862","1.68492435881862","1.68492435881862"
"15","15","15","15","1.4922083418610939","1.4922083418610939","1.4922083418610939","1.682402040018348","1.682402040018348","1.682402040018348"
"16","16","16","16","1.4831111697798005","1.4831111697798005","1.4831111697798005","1.6850209969740648","1.6850209969740648","1.6850209969740648"
"17","17","17","17","1.4645235407112376","1.4645235407112376","1.4645235407112376","1.6945217029667297","1.6945217029667297","1.6945217029667297"
"18","18","18","18","1.4529269242451976","1.4529269242451976","1.4529269242451976","1.6957793806292174","1.6957793806292174","1.6957793806292174"
"19","19","19","19","1.4561656215711174","1.4561656215711174","1.4561656215711174","1.6812951944764998","1.6812951944764998","1.6812951944764998"
"20","20","20","20","1.449511283882068","1.449511283882068","1.449511283882068","1.6791285721731868","1.6791285721731868","1.6791285721731868"
"21","21","21","21","1.4664380009042899","1.4664380009042899","1.4664380009042899","1.6863662725437187","1.6863662725437187","1.6863662725437187"
"22","22","22","22","1.4722673336166325","1.4722673336166325","1.4722673336166325","1.675536161466218","1.675536161466218","1.675536161466218"
"23","23","23","23","1.443200432998428","1.443200432998428","1.443200432998428","1.6743655326123723","1.6743655326123723","1.6743655326123723"
"24","24","24","24","1.4447547497628113","1.4447547497628113","1.4447547497628113","1.6777981495264211","1.6777981495264211","1.6777981495264211"
"25","25","25","25","1.4552158492042035","1.4552158492042035","1.4552158492042035","1.6747105844226207","1.6747105844226207","1.6747105844226207"
"26","26","26","26","1.4237534760720425","1.4237534760720425","1.4237534760720425","1.6734569582286818","1.6734569582286818","1.6734569582286818"
"27","27","27","27","1.451407098502521","1.451407098502521","1.451407098502521","1.6741294264518847","1.6741294264518847","1.6741294264518847"
"28","28","28","28","1.4520757995213798","1.4520757995213798","1.4520757995213798","1.6710021888973634","1.6710021888973634","1.6710021888973634"
"29","29","29","29","1.434288217168155","1.434288217168155","1.434288217168155","1.6760339670497555","1.6760339670497555","1.6760339670497555"
"30","30","30","30","1.4448966347765868","1.4448966347765868","1.4448966347765868","1.6729230701456637","1.6729230701456637","1.6729230701456637"
"31","31","31","31","1.4536614881407195","1.4536614881407195","1.4536614881407195","1.6732301073983649","1.6732301073983649","1.6732301073983649"
"32","32","32","32","1.4644929342358055","1.4644929342358055","1.4644929342358055","1.669803664987398","1.669803664987398","1.669803664987398"
"33","33","33","33","1.445008352118461","1.445008352118461","1.445008352118461","1.669232960452357","1.669232960452357","1.669232960452357"
"34","34","34","34","1.452407717075077","1.452407717075077","1.452407717075077","1.6667851904250135","1.6667851904250135","1.6667851904250135"
"35","35","35","35","1.4499887119389556","1.4499887119389556","1.4499887119389556","1.669974542636028","1.669974542636028","1.669974542636028"
"36","36","36","36","1.4813974684754312","1.4813974684754312","1.4813974684754312","1.6689105797670558","1.6689105797670558","1.6689105797670558"
"37","37","37","37","1.454497340466174","1.454497340466174","1.454497340466174","1.6676885260244165","1.6676885260244165","1.6676885260244165"
"38","38","38","38","1.4468145475800025","1.4468145475800025","1.4468145475800025","1.666524101736797","1.666524101736797","1.666524101736797"
"39","39","39","39","1.4220424954747162","1.4220424954747162","1.4220424954747162","1.6713851204340164","1.6713851204340164","1.6713851204340164"
"40","40","40","40","1.451429534596002","1.451429534596002","1.451429534596002","1.6700692416225804","1.6700692416225804","1.6700692416225804"
