"epoch","jolly-sweep-2 - _step","jolly-sweep-2 - _step__MIN","jolly-sweep-2 - _step__MAX","jolly-sweep-2 - loss/train","jolly-sweep-2 - loss/train__MIN","jolly-sweep-2 - loss/train__MAX","jolly-sweep-2 - loss/val","jolly-sweep-2 - loss/val__MIN","jolly-sweep-2 - loss/val__MAX"
"37","37","37","37","1.676986107258999","1.676986107258999","1.676986107258999","1.6295359695852765","1.6295359695852765","1.6295359695852765"
"38","38","38","38","1.721006399345478","1.721006399345478","1.721006399345478","1.6289441880406679","1.6289441880406679","1.6289441880406679"
"39","39","39","39","1.7041269145426805","1.7041269145426805","1.7041269145426805","1.6298838483194555","1.6298838483194555","1.6298838483194555"
"40","40","40","40","1.7228629689298793","1.7228629689298793","1.7228629689298793","1.629188040279123","1.629188040279123","1.629188040279123"
"41","41","41","41","1.7090561716633716","1.7090561716633716","1.7090561716633716","1.6306783473749744","1.6306783473749744","1.6306783473749744"
"42","42","42","42","1.6947982628939782","1.6947982628939782","1.6947982628939782","1.6288725289810861","1.6288725289810861","1.6288725289810861"
"43","43","43","43","1.7252836894868753","1.7252836894868753","1.7252836894868753","1.6293542162716417","1.6293542162716417","1.6293542162716417"
"44","44","44","44","1.7093750783103312","1.7093750783103312","1.7093750783103312","1.6289406914361773","1.6289406914361773","1.6289406914361773"
"45","45","45","45","1.735266245929771","1.735266245929771","1.735266245929771","1.6292993316777782","1.6292993316777782","1.6292993316777782"
"46","46","46","46","1.6942961365798783","1.6942961365798783","1.6942961365798783","1.628554876198806","1.628554876198806","1.628554876198806"
