"epoch","jolly-sweep-2 - _step","jolly-sweep-2 - _step__MIN","jolly-sweep-2 - _step__MAX","jolly-sweep-2 - loss/train","jolly-sweep-2 - loss/train__MIN","jolly-sweep-2 - loss/train__MAX","jolly-sweep-2 - loss/val","jolly-sweep-2 - loss/val__MIN","jolly-sweep-2 - loss/val__MAX"
"0","0","0","0","2.1188502567262395","2.1188502567262395","2.1188502567262395","1.832943656652109","1.832943656652109","1.832943656652109"
"1","1","1","1","1.9422282748685358","1.9422282748685358","1.9422282748685358","1.7697732577066936","1.7697732577066936","1.7697732577066936"
"2","2","2","2","1.8903709201564203","1.8903709201564203","1.8903709201564203","1.7415793710510503","1.7415793710510503","1.7415793710510503"
"3","3","3","3","1.8576054384649276","1.8576054384649276","1.8576054384649276","1.7264267996893892","1.7264267996893892","1.7264267996893892"
"4","4","4","4","1.8269391525388015","1.8269391525388015","1.8269391525388015","1.6981729465055884","1.6981729465055884","1.6981729465055884"
"5","5","5","5","1.808874983354595","1.808874983354595","1.808874983354595","1.6919193572571947","1.6919193572571947","1.6919193572571947"
"6","6","6","6","1.8073947102946362","1.8073947102946362","1.8073947102946362","1.685397708075544","1.685397708075544","1.685397708075544"
"7","7","7","7","1.7793210674204112","1.7793210674204112","1.7793210674204112","1.6778926490803898","1.6778926490803898","1.6778926490803898"
"8","8","8","8","1.8213429655433453","1.8213429655433453","1.8213429655433453","1.679598668817549","1.679598668817549","1.679598668817549"
"9","9","9","9","1.7827501112595983","1.7827501112595983","1.7827501112595983","1.6696834310525466","1.6696834310525466","1.6696834310525466"
"10","10","10","10","1.7733661223480108","1.7733661223480108","1.7733661223480108","1.6679751501825755","1.6679751501825755","1.6679751501825755"
"11","11","11","11","1.7830791025414292","1.7830791025414292","1.7830791025414292","1.6694115965611263","1.6694115965611263","1.6694115965611263"
"12","12","12","12","1.756524603524194","1.756524603524194","1.756524603524194","1.6586479968269099","1.6586479968269099","1.6586479968269099"
"13","13","13","13","1.8066831383699127","1.8066831383699127","1.8066831383699127","1.6502279001466145","1.6502279001466145","1.6502279001466145"
"14","14","14","14","1.7911780927801593","1.7911780927801593","1.7911780927801593","1.672570731660728","1.672570731660728","1.672570731660728"
"15","15","15","15","1.774799982105398","1.774799982105398","1.774799982105398","1.6568770816610574","1.6568770816610574","1.6568770816610574"
"16","16","16","16","1.7696448366598905","1.7696448366598905","1.7696448366598905","1.6595031198187942","1.6595031198187942","1.6595031198187942"
"17","17","17","17","1.7592456827348097","1.7592456827348097","1.7592456827348097","1.6512034506031248","1.6512034506031248","1.6512034506031248"
"18","18","18","18","1.7586524068632763","1.7586524068632763","1.7586524068632763","1.6521124440862638","1.6521124440862638","1.6521124440862638"
"19","19","19","19","1.7801831820372926","1.7801831820372926","1.7801831820372926","1.6470157881586962","1.6470157881586962","1.6470157881586962"
"20","20","20","20","1.7438150421317358","1.7438150421317358","1.7438150421317358","1.6648703056620542","1.6648703056620542","1.6648703056620542"
"21","21","21","21","1.7608566756206383","1.7608566756206383","1.7608566756206383","1.639976408392644","1.639976408392644","1.639976408392644"
"22","22","22","22","1.7695573971220404","1.7695573971220404","1.7695573971220404","1.639219950773045","1.639219950773045","1.639219950773045"
"23","23","23","23","1.7745494615034478","1.7745494615034478","1.7745494615034478","1.6414346891523561","1.6414346891523561","1.6414346891523561"
"24","24","24","24","1.778527888995151","1.778527888995151","1.778527888995151","1.6387965108655336","1.6387965108655336","1.6387965108655336"
"25","25","25","25","1.74724364661529","1.74724364661529","1.74724364661529","1.640729181231688","1.640729181231688","1.640729181231688"
"26","26","26","26","1.742944931923817","1.742944931923817","1.742944931923817","1.6452459916987214","1.6452459916987214","1.6452459916987214"
"27","27","27","27","1.7597276289556245","1.7597276289556245","1.7597276289556245","1.6392608574599727","1.6392608574599727","1.6392608574599727"
"28","28","28","28","1.716885894123573","1.716885894123573","1.716885894123573","1.6410389199118525","1.6410389199118525","1.6410389199118525"
"29","29","29","29","1.7292454136475237","1.7292454136475237","1.7292454136475237","1.6358471427684222","1.6358471427684222","1.6358471427684222"
"30","30","30","30","1.7154952703578574","1.7154952703578574","1.7154952703578574","1.6391528546398326","1.6391528546398326","1.6391528546398326"
"31","31","31","31","1.7240340808902082","1.7240340808902082","1.7240340808902082","1.6370302849461658","1.6370302849461658","1.6370302849461658"
"32","32","32","32","1.730768084526062","1.730768084526062","1.730768084526062","1.631259517425878","1.631259517425878","1.631259517425878"
"33","33","33","33","1.7209989261907808","1.7209989261907808","1.7209989261907808","1.6334347348782061","1.6334347348782061","1.6334347348782061"
"34","34","34","34","1.7493907577002334","1.7493907577002334","1.7493907577002334","1.6376377097037134","1.6376377097037134","1.6376377097037134"
"35","35","35","35","1.7463691575329763","1.7463691575329763","1.7463691575329763","1.6325666383904063","1.6325666383904063","1.6325666383904063"
"36","36","36","36","1.764386950445155","1.764386950445155","1.764386950445155","1.6335592178472558","1.6335592178472558","1.6335592178472558"
