"epoch","unique-sweep-1 - _step","unique-sweep-1 - _step__MIN","unique-sweep-1 - _step__MAX","unique-sweep-1 - loss/train","unique-sweep-1 - loss/train__MIN","unique-sweep-1 - loss/train__MAX","unique-sweep-1 - loss/val","unique-sweep-1 - loss/val__MIN","unique-sweep-1 - loss/val__MAX"
"0","0","0","0","1.5958266190938406","1.5958266190938406","1.5958266190938406","1.699573244602655","1.699573244602655","1.699573244602655"
"1","1","1","1","1.2063395348892776","1.2063395348892776","1.2063395348892776","1.608686779979625","1.608686779979625","1.608686779979625"
"2","2","2","2","1.1127018507866915","1.1127018507866915","1.1127018507866915","1.5375430469466815","1.5375430469466815","1.5375430469466815"
"3","3","3","3","1.0764945904413858","1.0764945904413858","1.0764945904413858","1.5176511331122902","1.5176511331122902","1.5176511331122902"
"4","4","4","4","1.0394652368070127","1.0394652368070127","1.0394652368070127","1.4922194108607196","1.4922194108607196","1.4922194108607196"
"5","5","5","5","0.9905826651435935","0.9905826651435935","0.9905826651435935","1.4788403751552517","1.4788403751552517","1.4788403751552517"
"6","6","6","6","1.0010779451844762","1.0010779451844762","1.0010779451844762","1.4795124295778068","1.4795124295778068","1.4795124295778068"
"7","7","7","7","0.9414070060805818","0.9414070060805818","0.9414070060805818","1.4949092942962225","1.4949092942962225","1.4949092942962225"
"8","8","8","8","0.9351916743800832","0.9351916743800832","0.9351916743800832","1.4772647899836782","1.4772647899836782","1.4772647899836782"
"9","9","9","9","0.8946887337382161","0.8946887337382161","0.8946887337382161","1.4987412835529246","1.4987412835529246","1.4987412835529246"
"10","10","10","10","0.8827262859031658","0.8827262859031658","0.8827262859031658","1.5658937679463847","1.5658937679463847","1.5658937679463847"
"11","11","11","11","0.8445740439126826","0.8445740439126826","0.8445740439126826","1.5320053355367653","1.5320053355367653","1.5320053355367653"
"12","12","12","12","0.8047277309019424","0.8047277309019424","0.8047277309019424","1.5899953738932564","1.5899953738932564","1.5899953738932564"
"13","13","13","13","0.7657935566317267","0.7657935566317267","0.7657935566317267","1.6534627153817436","1.6534627153817436","1.6534627153817436"
"14","14","14","14","0.7343614045013371","0.7343614045013371","0.7343614045013371","1.6318153263181654","1.6318153263181654","1.6318153263181654"
"15","15","15","15","0.7539299387335915","0.7539299387335915","0.7539299387335915","1.6672172983469145","1.6672172983469145","1.6672172983469145"
"16","16","16","16","0.706731424890123","0.706731424890123","0.706731424890123","1.719504608036131","1.719504608036131","1.719504608036131"
"17","17","17","17","0.6675873084069951","0.6675873084069951","0.6675873084069951","1.7657657353793461","1.7657657353793461","1.7657657353793461"
"18","18","18","18","0.6482010810279935","0.6482010810279935","0.6482010810279935","1.7639694567486637","1.7639694567486637","1.7639694567486637"
"19","19","19","19","0.650360641137478","0.650360641137478","0.650360641137478","1.7680626365788132","1.7680626365788132","1.7680626365788132"
"20","20","20","20","0.6336211137337617","0.6336211137337617","0.6336211137337617","1.7860804968635808","1.7860804968635808","1.7860804968635808"
"21","21","21","21","0.6590942970404974","0.6590942970404974","0.6590942970404974","1.7836045281011792","1.7836045281011792","1.7836045281011792"
"22","22","22","22","0.6598126509305814","0.6598126509305814","0.6598126509305814","1.7862454645098875","1.7862454645098875","1.7862454645098875"
"23","23","23","23","0.6464402257823028","0.6464402257823028","0.6464402257823028","1.803804785136746","1.803804785136746","1.803804785136746"
