"epoch","devout-sweep-1 - _step","devout-sweep-1 - _step__MIN","devout-sweep-1 - _step__MAX","devout-sweep-1 - loss/train","devout-sweep-1 - loss/train__MIN","devout-sweep-1 - loss/train__MAX","devout-sweep-1 - loss/val","devout-sweep-1 - loss/val__MIN","devout-sweep-1 - loss/val__MAX"
"20","20","20","20","1.3866474671269102","1.3866474671269102","1.3866474671269102","1.693310964607193","1.693310964607193","1.693310964607193"
"21","21","21","21","1.3849339483240841","1.3849339483240841","1.3849339483240841","1.6920667434825925","1.6920667434825925","1.6920667434825925"
"22","22","22","22","1.3739718978910034","1.3739718978910034","1.3739718978910034","1.688792701747109","1.688792701747109","1.688792701747109"
"23","23","23","23","1.3612390195670758","1.3612390195670758","1.3612390195670758","1.6907596835229102","1.6907596835229102","1.6907596835229102"
"24","24","24","24","1.3826723165119952","1.3826723165119952","1.3826723165119952","1.6902617549413033","1.6902617549413033","1.6902617549413033"
"25","25","25","25","1.3624616175662785","1.3624616175662785","1.3624616175662785","1.6826996321724286","1.6826996321724286","1.6826996321724286"
"26","26","26","26","1.3686003402739482","1.3686003402739482","1.3686003402739482","1.6868705065334957","1.6868705065334957","1.6868705065334957"
"27","27","27","27","1.3881199781215612","1.3881199781215612","1.3881199781215612","1.6811635769605087","1.6811635769605087","1.6811635769605087"
"28","28","28","28","1.3842390505538908","1.3842390505538908","1.3842390505538908","1.6829948848098832","1.6829948848098832","1.6829948848098832"
"29","29","29","29","1.3744726128984637","1.3744726128984637","1.3744726128984637","1.6832946073289623","1.6832946073289623","1.6832946073289623"
"30","30","30","30","1.3750939439697336","1.3750939439697336","1.3750939439697336","1.682598408275571","1.682598408275571","1.682598408275571"
"31","31","31","31","1.414835240940597","1.414835240940597","1.414835240940597","1.6816143120614575","1.6816143120614575","1.6816143120614575"
"32","32","32","32","1.3768812840682692","1.3768812840682692","1.3768812840682692","1.6821209377871302","1.6821209377871302","1.6821209377871302"
"33","33","33","33","1.4035934553214655","1.4035934553214655","1.4035934553214655","1.6833296308370298","1.6833296308370298","1.6833296308370298"
"34","34","34","34","1.356925160429389","1.356925160429389","1.356925160429389","1.682769459906068","1.682769459906068","1.682769459906068"
"35","35","35","35","1.3873317352368941","1.3873317352368941","1.3873317352368941","1.68005218386705","1.68005218386705","1.68005218386705"
"36","36","36","36","1.3563120966559057","1.3563120966559057","1.3563120966559057","1.6820896585544427","1.6820896585544427","1.6820896585544427"
"37","37","37","37","1.3797692106457995","1.3797692106457995","1.3797692106457995","1.677498816180921","1.677498816180921","1.677498816180921"
"38","38","38","38","1.372670192563195","1.372670192563195","1.372670192563195","1.677165464177652","1.677165464177652","1.677165464177652"
"39","39","39","39","1.3666065172940927","1.3666065172940927","1.3666065172940927","1.6804536266955072","1.6804536266955072","1.6804536266955072"
"40","40","40","40","1.3761089993118","1.3761089993118","1.3761089993118","1.6764129389545874","1.6764129389545874","1.6764129389545874"
"41","41","41","41","1.376770616927029","1.376770616927029","1.376770616927029","1.6751565156802226","1.6751565156802226","1.6751565156802226"
"42","42","42","42","1.41080660124964","1.41080660124964","1.41080660124964","1.6784671282010493","1.6784671282010493","1.6784671282010493"
"43","43","43","43","1.3668955038810442","1.3668955038810442","1.3668955038810442","1.6773847641894368","1.6773847641894368","1.6773847641894368"
"44","44","44","44","1.384982679010842","1.384982679010842","1.384982679010842","1.6782175053214763","1.6782175053214763","1.6782175053214763"
"45","45","45","45","1.3844423743615004","1.3844423743615004","1.3844423743615004","1.677618322587683","1.677618322587683","1.677618322587683"
"46","46","46","46","1.3489284618921384","1.3489284618921384","1.3489284618921384","1.6766074623231348","1.6766074623231348","1.6766074623231348"
"47","47","47","47","1.387977324503623","1.387977324503623","1.387977324503623","1.6770890681549242","1.6770890681549242","1.6770890681549242"
"48","48","48","48","1.3709222061525566","1.3709222061525566","1.3709222061525566","1.6770780926088977","1.6770780926088977","1.6770780926088977"
"49","49","49","49","1.3762486977289718","1.3762486977289718","1.3762486977289718","1.6772839886864337","1.6772839886864337","1.6772839886864337"
