"epoch","eager-sweep-1 - _step","eager-sweep-1 - _step__MIN","eager-sweep-1 - _step__MAX","eager-sweep-1 - loss/train","eager-sweep-1 - loss/train__MIN","eager-sweep-1 - loss/train__MAX","eager-sweep-1 - loss/val","eager-sweep-1 - loss/val__MIN","eager-sweep-1 - loss/val__MAX"
"0","0","0","0","2.0224403108690945","2.0224403108690945","2.0224403108690945","1.7378031740755269","1.7378031740755269","1.7378031740755269"
"1","1","1","1","1.6260112553589374","1.6260112553589374","1.6260112553589374","1.6216509803436363","1.6216509803436363","1.6216509803436363"
"2","2","2","2","1.4984894723533124","1.4984894723533124","1.4984894723533124","1.5614519793555683","1.5614519793555683","1.5614519793555683"
"3","3","3","3","1.4092111112780097","1.4092111112780097","1.4092111112780097","1.5291370899652017","1.5291370899652017","1.5291370899652017"
"4","4","4","4","1.3515362069303318","1.3515362069303318","1.3515362069303318","1.4971211651732217","1.4971211651732217","1.4971211651732217"
"5","5","5","5","1.307277128590331","1.307277128590331","1.307277128590331","1.4900139659190168","1.4900139659190168","1.4900139659190168"
"6","6","6","6","1.3134819971475111","1.3134819971475111","1.3134819971475111","1.501482648763828","1.501482648763828","1.501482648763828"
"7","7","7","7","1.2513993822822416","1.2513993822822416","1.2513993822822416","1.4851492308406224","1.4851492308406224","1.4851492308406224"
"8","8","8","8","1.2104344046160853","1.2104344046160853","1.2104344046160853","1.469999704367551","1.469999704367551","1.469999704367551"
"9","9","9","9","1.168980441009364","1.168980441009364","1.168980441009364","1.4888358605945786","1.4888358605945786","1.4888358605945786"
"10","10","10","10","1.1805036520677066","1.1805036520677066","1.1805036520677066","1.4906528073760674","1.4906528073760674","1.4906528073760674"
"11","11","11","11","1.1130073299361696","1.1130073299361696","1.1130073299361696","1.5238030942449476","1.5238030942449476","1.5238030942449476"
"12","12","12","12","1.0682516973389666","1.0682516973389666","1.0682516973389666","1.5210709699778335","1.5210709699778335","1.5210709699778335"
"13","13","13","13","1.0336106729450536","1.0336106729450536","1.0336106729450536","1.5607957467127922","1.5607957467127922","1.5607957467127922"
"14","14","14","14","1.050581044630117","1.050581044630117","1.050581044630117","1.6092697136526226","1.6092697136526226","1.6092697136526226"
"15","15","15","15","0.9857728539121209","0.9857728539121209","0.9857728539121209","1.6109276487771294","1.6109276487771294","1.6109276487771294"
"16","16","16","16","0.9327638240043016","0.9327638240043016","0.9327638240043016","1.6756035748411027","1.6756035748411027","1.6756035748411027"
"17","17","17","17","0.9193428746774784","0.9193428746774784","0.9193428746774784","1.6508478609332837","1.6508478609332837","1.6508478609332837"
"18","18","18","18","0.9155866790058304","0.9155866790058304","0.9155866790058304","1.6743705453877074","1.6743705453877074","1.6743705453877074"
"19","19","19","19","0.8891973340539777","0.8891973340539777","0.8891973340539777","1.6699866868009878","1.6699866868009878","1.6699866868009878"
"20","20","20","20","0.8526250236421936","0.8526250236421936","0.8526250236421936","1.6851210467335487","1.6851210467335487","1.6851210467335487"
"21","21","21","21","0.84955376090042","0.84955376090042","0.84955376090042","1.6950040778384567","1.6950040778384567","1.6950040778384567"
"22","22","22","22","0.8127878576923281","0.8127878576923281","0.8127878576923281","1.7296012086508077","1.7296012086508077","1.7296012086508077"
"23","23","23","23","0.8299411107332278","0.8299411107332278","0.8299411107332278","1.7169366098669254","1.7169366098669254","1.7169366098669254"
