"epoch","expert-sweep-1 - _step","expert-sweep-1 - _step__MIN","expert-sweep-1 - _step__MAX","expert-sweep-1 - loss/train","expert-sweep-1 - loss/train__MIN","expert-sweep-1 - loss/train__MAX","expert-sweep-1 - loss/val","expert-sweep-1 - loss/val__MIN","expert-sweep-1 - loss/val__MAX"
"0","0","0","0","1.887208258432695","1.887208258432695","1.887208258432695","1.7162503980920372","1.7162503980920372","1.7162503980920372"
"1","1","1","1","1.4810668420657815","1.4810668420657815","1.4810668420657815","1.6180722003760617","1.6180722003760617","1.6180722003760617"
"2","2","2","2","1.3571166127300294","1.3571166127300294","1.3571166127300294","1.541929321319812","1.541929321319812","1.541929321319812"
"3","3","3","3","1.2994587861417188","1.2994587861417188","1.2994587861417188","1.5017459716241188","1.5017459716241188","1.5017459716241188"
"4","4","4","4","1.245644183668928","1.245644183668928","1.245644183668928","1.501529818441065","1.501529818441065","1.501529818441065"
"5","5","5","5","1.2390422600021689","1.2390422600021689","1.2390422600021689","1.4628526571981921","1.4628526571981921","1.4628526571981921"
"6","6","6","6","1.1933894776794216","1.1933894776794216","1.1933894776794216","1.477811443619001","1.477811443619001","1.477811443619001"
"7","7","7","7","1.1401894588287846","1.1401894588287846","1.1401894588287846","1.4663319283781486","1.4663319283781486","1.4663319283781486"
"8","8","8","8","1.1489664044148775","1.1489664044148775","1.1489664044148775","1.4835143120867598","1.4835143120867598","1.4835143120867598"
"9","9","9","9","1.0946529819297097","1.0946529819297097","1.0946529819297097","1.4915183607415086","1.4915183607415086","1.4915183607415086"
"10","10","10","10","1.0382163603575798","1.0382163603575798","1.0382163603575798","1.5164221381328447","1.5164221381328447","1.5164221381328447"
"11","11","11","11","1.0141760483635027","1.0141760483635027","1.0141760483635027","1.5109821442687967","1.5109821442687967","1.5109821442687967"
"12","12","12","12","1.0268946127082381","1.0268946127082381","1.0268946127082381","1.5457461779702923","1.5457461779702923","1.5457461779702923"
"13","13","13","13","0.9529582453781561","0.9529582453781561","0.9529582453781561","1.5590539772573127","1.5590539772573127","1.5590539772573127"
"14","14","14","14","0.9336154199110946","0.9336154199110946","0.9336154199110946","1.5673544814871072","1.5673544814871072","1.5673544814871072"
"15","15","15","15","0.9170115996239484","0.9170115996239484","0.9170115996239484","1.5724208456533177","1.5724208456533177","1.5724208456533177"
"16","16","16","16","0.8907801895261244","0.8907801895261244","0.8907801895261244","1.6074226849752327","1.6074226849752327","1.6074226849752327"
"17","17","17","17","0.8701967775905317","0.8701967775905317","0.8701967775905317","1.6054883938349649","1.6054883938349649","1.6054883938349649"
