"epoch","worthy-sweep-1 - _step","worthy-sweep-1 - _step__MIN","worthy-sweep-1 - _step__MAX","worthy-sweep-1 - loss/train","worthy-sweep-1 - loss/train__MIN","worthy-sweep-1 - loss/train__MAX","worthy-sweep-1 - loss/val","worthy-sweep-1 - loss/val__MIN","worthy-sweep-1 - loss/val__MAX"
"0","0","0","0","2.2568926397317997","2.2568926397317997","2.2568926397317997","1.8118523695347002","1.8118523695347002","1.8118523695347002"
"1","1","1","1","1.9166906489299695","1.9166906489299695","1.9166906489299695","1.6265610633825498","1.6265610633825498","1.6265610633825498"
"2","2","2","2","1.7874973148996964","1.7874973148996964","1.7874973148996964","1.5599841554282394","1.5599841554282394","1.5599841554282394"
"3","3","3","3","1.6915372663708783","1.6915372663708783","1.6915372663708783","1.535455209217221","1.535455209217221","1.535455209217221"
"4","4","4","4","1.6192211536561405","1.6192211536561405","1.6192211536561405","1.500869515632935","1.500869515632935","1.500869515632935"
"5","5","5","5","1.5650189068198155","1.5650189068198155","1.5650189068198155","1.4705257546456934","1.4705257546456934","1.4705257546456934"
"6","6","6","6","1.5247349409357547","1.5247349409357547","1.5247349409357547","1.4821433862032072","1.4821433862032072","1.4821433862032072"
"7","7","7","7","1.448596504216637","1.448596504216637","1.448596504216637","1.478644625375151","1.478644625375151","1.478644625375151"
"8","8","8","8","1.4919706064395015","1.4919706064395015","1.4919706064395015","1.4755696136794405","1.4755696136794405","1.4755696136794405"
"9","9","9","9","1.3961604542970758","1.3961604542970758","1.3961604542970758","1.469324176128094","1.469324176128094","1.469324176128094"
"10","10","10","10","1.337675701674918","1.337675701674918","1.337675701674918","1.4805515537828633","1.4805515537828633","1.4805515537828633"
"11","11","11","11","1.3093961533151188","1.3093961533151188","1.3093961533151188","1.4779556622048338","1.4779556622048338","1.4779556622048338"
"12","12","12","12","1.2275554669309234","1.2275554669309234","1.2275554669309234","1.5008135776210083","1.5008135776210083","1.5008135776210083"
"13","13","13","13","1.2804457896795027","1.2804457896795027","1.2804457896795027","1.4930805642722336","1.4930805642722336","1.4930805642722336"
"14","14","14","14","1.225992118876338","1.225992118876338","1.225992118876338","1.5851672597329005","1.5851672597329005","1.5851672597329005"
"15","15","15","15","1.1690354381303119","1.1690354381303119","1.1690354381303119","1.5928835401003507","1.5928835401003507","1.5928835401003507"
"16","16","16","16","1.1238772528368968","1.1238772528368968","1.1238772528368968","1.5955158883335951","1.5955158883335951","1.5955158883335951"
"17","17","17","17","1.0762182398471776","1.0762182398471776","1.0762182398471776","1.607109829062748","1.607109829062748","1.607109829062748"
"18","18","18","18","1.0361180833629722","1.0361180833629722","1.0361180833629722","1.6479851358335504","1.6479851358335504","1.6479851358335504"
"19","19","19","19","1.0410992225311844","1.0410992225311844","1.0410992225311844","1.6423173093510246","1.6423173093510246","1.6423173093510246"
"20","20","20","20","0.9707662939474131","0.9707662939474131","0.9707662939474131","1.6814782360301814","1.6814782360301814","1.6814782360301814"
"21","21","21","21","0.9832853038003335","0.9832853038003335","0.9832853038003335","1.6615855861841287","1.6615855861841287","1.6615855861841287"
"22","22","22","22","0.9940116226597963","0.9940116226597963","0.9940116226597963","1.6639656916240129","1.6639656916240129","1.6639656916240129"
"23","23","23","23","0.9956936851776463","0.9956936851776463","0.9956936851776463","1.6674627655939482","1.6674627655939482","1.6674627655939482"
"24","24","24","24","1.0085714390018299","1.0085714390018299","1.0085714390018299","1.6821560218882199","1.6821560218882199","1.6821560218882199"
"25","25","25","25","0.9457735133526856","0.9457735133526856","0.9457735133526856","1.6852933652167055","1.6852933652167055","1.6852933652167055"
