"epoch","cosmic-sweep-1 - _step","cosmic-sweep-1 - _step__MIN","cosmic-sweep-1 - _step__MAX","cosmic-sweep-1 - loss/train","cosmic-sweep-1 - loss/train__MIN","cosmic-sweep-1 - loss/train__MAX","cosmic-sweep-1 - loss/val","cosmic-sweep-1 - loss/val__MIN","cosmic-sweep-1 - loss/val__MAX"
"14","14","14","14","1.5972017898858442","1.5972017898858442","1.5972017898858442","1.6845278756402156","1.6845278756402156","1.6845278756402156"
"15","15","15","15","1.5743584782126099","1.5743584782126099","1.5743584782126099","1.6865685803173105","1.6865685803173105","1.6865685803173105"
"16","16","16","16","1.560822574602334","1.560822574602334","1.560822574602334","1.6778963764160804","1.6778963764160804","1.6778963764160804"
"17","17","17","17","1.5744494585780888","1.5744494585780888","1.5744494585780888","1.6681426902456473","1.6681426902456473","1.6681426902456473"
"18","18","18","18","1.584781252301537","1.584781252301537","1.584781252301537","1.6702684485269879","1.6702684485269879","1.6702684485269879"
"19","19","19","19","1.5680772820548574","1.5680772820548574","1.5680772820548574","1.67014176820292","1.67014176820292","1.67014176820292"
"20","20","20","20","1.547378079981344","1.547378079981344","1.547378079981344","1.667334629060595","1.667334629060595","1.667334629060595"
"21","21","21","21","1.550709819283342","1.550709819283342","1.550709819283342","1.6740444689947909","1.6740444689947909","1.6740444689947909"
"22","22","22","22","1.5333132076145934","1.5333132076145934","1.5333132076145934","1.6796795878746387","1.6796795878746387","1.6796795878746387"
"23","23","23","23","1.5411517220060424","1.5411517220060424","1.5411517220060424","1.670587627308976","1.670587627308976","1.670587627308976"
"24","24","24","24","1.525878070968031","1.525878070968031","1.525878070968031","1.671965458326107","1.671965458326107","1.671965458326107"
"25","25","25","25","1.5522505771648418","1.5522505771648418","1.5522505771648418","1.6636386072509357","1.6636386072509357","1.6636386072509357"
"26","26","26","26","1.5875730337920013","1.5875730337920013","1.5875730337920013","1.6663868641974133","1.6663868641974133","1.6663868641974133"
"27","27","27","27","1.5213982775202706","1.5213982775202706","1.5213982775202706","1.6640642606020524","1.6640642606020524","1.6640642606020524"
"28","28","28","28","1.5435766298812945","1.5435766298812945","1.5435766298812945","1.6583721270378917","1.6583721270378917","1.6583721270378917"
"29","29","29","29","1.541364236067815","1.541364236067815","1.541364236067815","1.6650848935024907","1.6650848935024907","1.6650848935024907"
"30","30","30","30","1.5122633155484375","1.5122633155484375","1.5122633155484375","1.6576793369254117","1.6576793369254117","1.6576793369254117"
"31","31","31","31","1.5085485244794155","1.5085485244794155","1.5085485244794155","1.6572751861901285","1.6572751861901285","1.6572751861901285"
"32","32","32","32","1.5325616959970358","1.5325616959970358","1.5325616959970358","1.6602995470886899","1.6602995470886899","1.6602995470886899"
"33","33","33","33","1.5378466010727048","1.5378466010727048","1.5378466010727048","1.6572667643640624","1.6572667643640624","1.6572667643640624"
"34","34","34","34","1.4994847151518438","1.4994847151518438","1.4994847151518438","1.6547885105556082","1.6547885105556082","1.6547885105556082"
"35","35","35","35","1.5262183226439037","1.5262183226439037","1.5262183226439037","1.6537421861039718","1.6537421861039718","1.6537421861039718"
"36","36","36","36","1.5551213804987256","1.5551213804987256","1.5551213804987256","1.6585703165725538","1.6585703165725538","1.6585703165725538"
"37","37","37","37","1.5375656412537622","1.5375656412537622","1.5375656412537622","1.659922617089084","1.659922617089084","1.659922617089084"
"38","38","38","38","1.5404235000669833","1.5404235000669833","1.5404235000669833","1.653462318987519","1.653462318987519","1.653462318987519"
"39","39","39","39","1.507029273259022","1.507029273259022","1.507029273259022","1.656707011489262","1.656707011489262","1.656707011489262"
"40","40","40","40","1.5336114188728354","1.5336114188728354","1.5336114188728354","1.6536767618934003","1.6536767618934003","1.6536767618934003"
"41","41","41","41","1.5446190415385543","1.5446190415385543","1.5446190415385543","1.656663047668847","1.656663047668847","1.656663047668847"
"42","42","42","42","1.5676592049793658","1.5676592049793658","1.5676592049793658","1.6561192308686834","1.6561192308686834","1.6561192308686834"
"43","43","43","43","1.5386119339595887","1.5386119339595887","1.5386119339595887","1.655972788708378","1.655972788708378","1.655972788708378"
"44","44","44","44","1.5478756843120276","1.5478756843120276","1.5478756843120276","1.6563186250705975","1.6563186250705975","1.6563186250705975"
"45","45","45","45","1.5179008593999497","1.5179008593999497","1.5179008593999497","1.6555759888648547","1.6555759888648547","1.6555759888648547"
"46","46","46","46","1.5360412115017885","1.5360412115017885","1.5360412115017885","1.6557253841868418","1.6557253841868418","1.6557253841868418"
"47","47","47","47","1.525074074218223","1.525074074218223","1.525074074218223","1.6556437618992725","1.6556437618992725","1.6556437618992725"
"48","48","48","48","1.5314786733780208","1.5314786733780208","1.5314786733780208","1.6555142890797514","1.6555142890797514","1.6555142890797514"
"49","49","49","49","1.5395590320345416","1.5395590320345416","1.5395590320345416","1.6556150953322717","1.6556150953322717","1.6556150953322717"
