"epoch","cosmic-sweep-1 - _step","cosmic-sweep-1 - _step__MIN","cosmic-sweep-1 - _step__MAX","cosmic-sweep-1 - loss/train","cosmic-sweep-1 - loss/train__MIN","cosmic-sweep-1 - loss/train__MAX","cosmic-sweep-1 - loss/val","cosmic-sweep-1 - loss/val__MIN","cosmic-sweep-1 - loss/val__MAX"
"0","0","0","0","1.9107924101579783","1.9107924101579783","1.9107924101579783","1.8315231766035238","1.8315231766035238","1.8315231766035238"
"1","1","1","1","1.7199108658169566","1.7199108658169566","1.7199108658169566","1.7849030234966339","1.7849030234966339","1.7849030234966339"
"2","2","2","2","1.6559221044078365","1.6559221044078365","1.6559221044078365","1.749728047754401","1.749728047754401","1.749728047754401"
"3","3","3","3","1.617838511531601","1.617838511531601","1.617838511531601","1.7329453146441198","1.7329453146441198","1.7329453146441198"
"4","4","4","4","1.5980453071908531","1.5980453071908531","1.5980453071908531","1.715595406137376","1.715595406137376","1.715595406137376"
"5","5","5","5","1.5869548685365087","1.5869548685365087","1.5869548685365087","1.7142392506472035","1.7142392506472035","1.7142392506472035"
"6","6","6","6","1.6189942338995913","1.6189942338995913","1.6189942338995913","1.713182344188453","1.713182344188453","1.713182344188453"
"7","7","7","7","1.585007417869318","1.585007417869318","1.585007417869318","1.696391992665611","1.696391992665611","1.696391992665611"
"8","8","8","8","1.574281646563365","1.574281646563365","1.574281646563365","1.6834609878057711","1.6834609878057711","1.6834609878057711"
"9","9","9","9","1.5799351444583645","1.5799351444583645","1.5799351444583645","1.6902981341461716","1.6902981341461716","1.6902981341461716"
"10","10","10","10","1.6081744442913544","1.6081744442913544","1.6081744442913544","1.696084898114479","1.696084898114479","1.696084898114479"
"11","11","11","11","1.5806479017848531","1.5806479017848531","1.5806479017848531","1.6846616325264205","1.6846616325264205","1.6846616325264205"
"12","12","12","12","1.5732672973988815","1.5732672973988815","1.5732672973988815","1.6875534996026564","1.6875534996026564","1.6875534996026564"
"13","13","13","13","1.5752770019897533","1.5752770019897533","1.5752770019897533","1.691007054329797","1.691007054329797","1.691007054329797"
